Date,C1_Open,C1_Close,C1_Color,C2_Open,C2_Close,C2_Color,SameColor,BothGreen,BothRed,HasDoji
2025-10-31,683.2501,683.56,green,683.57,683.48,red,False,False,False,False
2025-11-03,680.1,679.97,red,679.97,680.15,green,False,False,False,False
2025-11-04,679.19,679.22,green,679.2,679.0,red,False,False,False,False
2025-11-05,677.34,677.54,green,677.54,677.51,red,False,False,False,False
2025-11-06,674.29,674.37,green,674.365,673.89,red,False,False,False,False
2025-11-07,666.1277,666.14,green,666.15,665.83,red,False,False,False,False
2025-11-10,678.85,678.75,red,678.745,678.84,green,False,False,False,False
2025-11-11,679.56,679.57,green,679.555,679.3,red,False,False,False,False
2025-11-12,683.06,682.8,red,682.8,683.01,green,False,False,False,False
2025-11-13,678.9,678.8,red,678.8,678.68,red,True,False,True,False
2025-11-14,669.76,669.355,red,669.345,669.62,green,False,False,False,False
2025-11-17,672.15,672.03,red,672.01,671.065,red,True,False,True,False
2025-11-18,659.68,658.71,red,658.74,659.93,green,False,False,False,False
2025-11-19,666.15,666.13,red,666.15,666.31,green,False,False,False,False
2025-11-20,674.92,675.0,green,675.0029,675.02,green,True,True,False,False
2025-11-21,653.43,653.65,green,653.64,653.69,green,True,True,False,False
2025-11-24,665.35,665.57,green,665.6,665.7,green,True,True,False,False
2025-11-25,669.395,669.4299,green,669.44,669.35,red,False,False,False,False
2025-11-26,678.36,678.42,green,678.41,678.5299,green,True,True,False,False
2025-11-28,681.69,681.83,green,681.8301,681.96,green,True,True,False,False
2025-12-01,679.51,679.84,green,679.841,679.77,red,False,False,False,False
2025-12-02,681.66,681.7,green,681.7,681.39,red,False,False,False,False
2025-12-03,681.538,681.59,green,681.5,681.72,green,True,True,False,False
2025-12-04,683.7,683.665,red,683.63,683.5487,red,True,False,True,False
2025-12-05,688.02,688.15,green,688.15,688.325,green,True,True,False,False
2025-12-08,684.34,684.642,green,684.65,684.585,red,False,False,False,False
2025-12-09,684.2655,684.2615,red,684.28,684.1299,red,True,False,True,False
2025-12-10,682.87,682.84,red,682.82,682.64,red,True,False,True,False
2025-12-11,686.11,686.11,doji,686.1085,686.3,green,False,False,False,True
2025-12-12,683.81,684.08,green,684.1,684.3398,green,True,True,False,False
