
=== Trade logs (one line per trade) ===
2025-12-26 | SHORT | b1=2025-12-26 11:15:00-05:00 ret=2025-12-26 11:20:00-05:00 rb=2025-12-26 11:25:00-05:00 conf=2025-12-26 11:30:00-05:00 entry=2025-12-26 11:30:00-05:00 exit=2025-12-26 12:05:00-05:00 | TP R=2.000 | px: entry=690.13 stop=690.37 tp=689.65 exit=689.65 | OR: hi=691.09 lo=690.27
2025-12-29 | LONG  | b1=2025-12-29 09:40:00-05:00 ret=2025-12-29 09:45:00-05:00 rb=2025-12-29 10:30:00-05:00 conf=2025-12-29 10:40:00-05:00 entry=2025-12-29 10:40:00-05:00 exit=2025-12-29 10:45:00-05:00 | SL R=-1.000 | px: entry=688.19 stop=687.99 tp=688.59 exit=687.99 | OR: hi=688.09 lo=687.19
2025-12-30 | LONG  | b1=2025-12-30 09:55:00-05:00 ret=2025-12-30 10:00:00-05:00 rb=2025-12-30 11:00:00-05:00 conf=2025-12-30 11:15:00-05:00 entry=2025-12-30 11:15:00-05:00 exit=2025-12-30 11:20:00-05:00 | TP R=2.000 | px: entry=687.96 stop=687.77 tp=688.34 exit=688.34 | OR: hi=687.87 lo=687.25
2026-01-05 | LONG  | b1=2026-01-05 10:20:00-05:00 ret=2026-01-05 14:50:00-05:00 rb=2026-01-05 15:05:00-05:00 conf=2026-01-05 15:10:00-05:00 entry=2026-01-05 15:10:00-05:00 exit=2026-01-05 15:50:00-05:00 | SL R=-1.000 | px: entry=688.13 stop=687.54 tp=689.31 exit=687.54 | OR: hi=687.64 lo=686.38
2026-01-06 | LONG  | b1=2026-01-06 09:50:00-05:00 ret=2026-01-06 11:00:00-05:00 rb=2026-01-06 11:05:00-05:00 conf=2026-01-06 11:10:00-05:00 entry=2026-01-06 11:10:00-05:00 exit=2026-01-06 11:20:00-05:00 | TP R=2.000 | px: entry=688.87 stop=688.56 tp=689.48 exit=689.48 | OR: hi=688.66 lo=687.86
2026-01-07 | LONG  | b1=2026-01-07 09:45:00-05:00 ret=2026-01-07 10:00:00-05:00 rb=2026-01-07 10:55:00-05:00 conf=2026-01-07 11:00:00-05:00 entry=2026-01-07 11:00:00-05:00 exit=2026-01-07 11:20:00-05:00 | SL R=-1.000 | px: entry=692.72 stop=692.33 tp=693.50 exit=692.33 | OR: hi=692.43 lo=691.71
2026-01-08 | LONG  | b1=2026-01-08 10:10:00-05:00 ret=2026-01-08 10:45:00-05:00 rb=2026-01-08 10:55:00-05:00 conf=2026-01-08 11:00:00-05:00 entry=2026-01-08 11:00:00-05:00 exit=2026-01-08 11:05:00-05:00 | SL R=-1.000 | px: entry=689.90 stop=689.20 tp=691.30 exit=689.20 | OR: hi=689.30 lo=688.32
2026-01-14 | SHORT | b1=2026-01-14 09:55:00-05:00 ret=2026-01-14 10:10:00-05:00 rb=2026-01-14 10:20:00-05:00 conf=2026-01-14 10:25:00-05:00 entry=2026-01-14 10:25:00-05:00 exit=2026-01-14 11:50:00-05:00 | TP R=2.000 | px: entry=688.76 stop=689.97 tp=686.34 exit=686.34 | OR: hi=691.70 lo=689.87
2026-01-15 | SHORT | b1=2026-01-15 10:05:00-05:00 ret=2026-01-15 10:10:00-05:00 rb=2026-01-15 10:25:00-05:00 conf=2026-01-15 10:40:00-05:00 entry=2026-01-15 10:40:00-05:00 exit=2026-01-15 10:45:00-05:00 | TP R=2.000 | px: entry=693.91 stop=694.07 tp=693.59 exit=693.59 | OR: hi=694.69 lo=693.97
2026-01-16 | SHORT | b1=2026-01-16 09:55:00-05:00 ret=2026-01-16 14:00:00-05:00 rb=2026-01-16 14:10:00-05:00 conf=2026-01-16 14:15:00-05:00 entry=2026-01-16 14:15:00-05:00 exit=2026-01-16 16:00:00-05:00 | EOD R=0.405 | px: entry=692.18 stop=693.39 tp=689.76 exit=691.69 | OR: hi=694.25 lo=693.29
2026-01-20 | LONG  | b1=2026-01-20 10:25:00-05:00 ret=2026-01-20 11:50:00-05:00 rb=2026-01-20 11:55:00-05:00 conf=2026-01-20 12:00:00-05:00 entry=2026-01-20 12:00:00-05:00 exit=2026-01-20 12:10:00-05:00 | SL R=-1.000 | px: entry=683.40 stop=682.61 tp=684.98 exit=682.61 | OR: hi=682.71 lo=681.39
