Date,Open_930,Close_930,Open_945,Close_945,Dir_930,Dir_945,VWAP_Pos,Gap_pct,Gap_Bucket
2024-01-02,472.16,471.8,471.79,472.27,Bear,Bull,Below VWAP,,Large (>0.5%)
2024-01-03,470.43,470.22,470.21,469.97,Bear,Bear,Below VWAP,-0.43809523809523665,Medium (0.2–0.5%)
2024-01-04,468.3,469.0,468.98,468.92,Bull,Bear,Above VWAP,-0.2237136465324409,Medium (0.2–0.5%)
2024-01-05,467.49,468.02,468.02,468.1699,Bull,Bull,Above VWAP,-0.06626763574177047,Small (<0.2%)
2024-01-08,468.43,468.88,468.89,469.73,Bull,Bull,Above VWAP,-0.0042693990820753145,Small (<0.2%)
2024-01-09,471.87,471.82,471.8,472.1625,Bear,Bull,Below VWAP,-0.4934522679825341,Medium (0.2–0.5%)
2024-01-10,474.16,475.16,475.165,474.71,Bull,Bear,Above VWAP,0.07809367019143598,Small (<0.2%)
2024-01-11,477.59,477.12,477.13,476.32,Bear,Bear,Above VWAP,0.1069003102205062,Small (<0.2%)
2024-01-12,477.84,478.3796,478.375,477.12,Bull,Bear,Above VWAP,0.5005678711142884,Large (>0.5%)
2024-01-16,475.26,474.11,474.13,474.5,Bear,Bull,Below VWAP,-0.0819930621255096,Small (<0.2%)
2024-01-17,471.82,471.28,471.27,471.325,Bear,Bull,Below VWAP,-0.6171669299631399,Large (>0.5%)
2024-01-18,474.01,473.75,473.76,473.87,Bear,Bull,Below VWAP,0.3578082655826553,Medium (0.2–0.5%)
2024-01-19,477.65,477.05,477.05,477.91,Bear,Bull,Below VWAP,0.19087972479757692,Small (<0.2%)
2024-01-22,484.01,484.48,484.48,485.02,Bull,Bull,Above VWAP,0.2838554616277152,Medium (0.2–0.5%)
2024-01-23,484.01,483.84,483.85,483.96,Bear,Bull,Below VWAP,0.09719981800884527,Small (<0.2%)
2024-01-24,487.81,487.369,487.37,487.09,Bear,Bear,Below VWAP,0.3786241949091456,Medium (0.2–0.5%)
2024-01-25,487.575,486.98,486.99,487.32,Bear,Bull,Below VWAP,0.4336004284507717,Medium (0.2–0.5%)
2024-01-26,487.59,487.89,487.89,487.7001,Bull,Bear,Above VWAP,0.13348667186921945,Small (<0.2%)
2024-01-29,487.73,487.87,487.87,488.03,Bull,Bull,Above VWAP,0.20133538777606946,Medium (0.2–0.5%)
2024-01-30,490.56,491.045,491.05,491.2601,Bull,Bull,Above VWAP,-0.14858841010401558,Small (<0.2%)
2024-01-31,488.62,488.02,488.0,487.7602,Bear,Bear,Below VWAP,-0.1206026041986008,Small (<0.2%)
