Dir_930,VWAP_Pos,Gap_Bucket,Down_Prob,Count
Bull,Above VWAP,Small,0.5,100
Bear,Below VWAP,Medium,0.4235294117647059,85
Bear,Below VWAP,Small,0.45569620253164556,79
Bull,Above VWAP,Medium,0.4647887323943662,71
Bear,Below VWAP,Large,0.5272727272727272,55
Bull,Above VWAP,Large,0.4375,48
Bear,Above VWAP,Large,0.4375,16
Bear,Above VWAP,Medium,0.5,14
Bear,Above VWAP,Small,0.46153846153846156,13
Bull,Below VWAP,Large,0.2857142857142857,7
Bull,Below VWAP,Small,0.16666666666666666,6
Bull,Below VWAP,Medium,0.0,4
