Dir_930,VWAP_Pos,Gap_Bucket,Reversal_Prob,Count
Bull,Above VWAP,Small,0.48484848484848486,99
Bear,Below VWAP,Medium,0.5882352941176471,85
Bear,Below VWAP,Small,0.5316455696202531,79
Bull,Above VWAP,Medium,0.4647887323943662,71
Bear,Below VWAP,Large,0.4727272727272727,55
Bull,Above VWAP,Large,0.4166666666666667,48
Bear,Above VWAP,Large,0.5625,16
Bear,Above VWAP,Medium,0.5,14
Bear,Above VWAP,Small,0.5384615384615384,13
Bull,Below VWAP,Large,0.2857142857142857,7
Bull,Below VWAP,Small,0.16666666666666666,6
Bull,Below VWAP,Medium,0.0,4
