ticker,session,spot_935,expiry,expiry_kind,strike,option_symbol,opt_935,opt_1230,opt_1530,opt_1230_bar,opt_1530_bar,pct_935_to_1230,pct_935_to_1530,notes
BNTX,2026-08-19,107.545,2026-08-21,this_week,110.0,BNTX260821C00110000,1.57,4.4,3.36,5m 12:25-12:30,5m 15:25-15:30,180.3,114.0,
EL,2026-08-19,96.4,2026-09-18,next_month,95.0,EL260918C00095000,5.3,5.8,,15m 12:15-12:30,no bar,9.4,,fell back after this_week:2026-08-21(no 12:30/3:30)
HL,2026-08-19,19.1997,2026-08-21,this_week,19.0,HL260821C00019000,0.55,1.51,1.4,15m 12:15-12:30,5m 15:25-15:30,174.5,154.5,
MRK,2026-08-19,146.615,2026-08-21,this_week,145.0,MRK260821C00145000,3.0,6.0,,15m 12:15-12:30,no bar,100.0,,
MSTR,2026-08-19,96.18,2026-08-21,this_week,96.0,MSTR260821C00096000,2.55,10.09,7.65,15m 12:15-12:30,5m 15:25-15:30,295.7,200.0,
CDE,2026-08-19,20.035,2026-08-21,this_week,20.0,CDE260821C00020000,0.48,1.25,1.0,5m 12:25-12:30,5m 15:30-15:35,160.4,108.3,
AEM,2026-08-19,199.205,2026-08-21,this_week,200.0,AEM260821C00200000,3.17,,8.7,no bar,5m 15:30-15:35,,174.4,
WPM,2026-08-19,140.906,2026-09-18,next_month,140.0,WPM260918C00140000,6.8,11.9,11.8,15m 12:15-12:30,15m 15:15-15:30,75.0,73.5,fell back after this_week:2026-08-21(no 12:30/3:30)
EQX,2026-08-19,12.2014,2026-08-21,this_week,12.5,EQX260821C00012500,0.16,0.35,0.33,15m 12:15-12:30,5m 15:30-15:35,118.8,106.3,
AU,2026-08-19,103.82,2026-08-21,this_week,105.0,AU260821C00105000,1.1,3.2,,5m 12:25-12:30,no bar,190.9,,
KGC,2026-08-19,28.92,2026-08-21,this_week,29.0,KGC260821C00029000,0.4,1.09,1.05,5m 12:30-12:35,5m 15:10 (t-20m),172.5,162.5,
BMNR,2026-08-19,18.6501,2026-08-21,this_week,18.5,BMNR260821C00018500,0.58,2.42,1.6,5m 12:25-12:30,15m 15:15-15:30,317.2,175.9,
MRVL,2026-08-19,239.27,2026-08-21,this_week,240.0,MRVL260821C00240000,7.75,4.9,4.33,5m 12:25-12:30,5m 15:25-15:30,-36.8,-44.1,
HMY,2026-08-19,20.6591,2026-08-21,this_week,21.0,HMY260821C00021000,,0.45,,5m 12:25-12:30,no bar,,,
CRCL,2026-08-19,76.3343,2026-08-21,this_week,76.0,CRCL260821C00076000,2.86,5.4,3.04,15m 12:15-12:30,5m 15:25-15:30,88.8,6.3,
COIN,2026-08-19,150.8176,2026-08-21,this_week,150.0,COIN260821C00150000,4.45,15.7,8.72,5m 12:25-12:30,5m 15:25-15:30,252.8,96.0,
ILMN,2026-08-19,200.59,2026-08-21,this_week,200.0,ILMN260821C00200000,3.7,,4.5,no bar,5m 15:10 (t-20m),,21.6,
AGI,2026-08-19,35.48,2026-08-21,this_week,35.0,AGI260821C00035000,1.0,1.4,,5m 12:25-12:30,no bar,40.0,,
TOTAL,2026-08-19,1712.8282,,18 names,1712.0,,45.42,75.86,57.48,,,95.6,64.1,Sums skip blanks. Pct totals are paired-premium change. EL/WPM used Sep 18 monthly.
