ticker,session,right,spot_935,expiry,expiry_kind,strike,option_symbol,opt_932,opt_935,opt_945,opt_1030,opt_1230,opt_1530,opt_1030_bar,opt_1230_bar,opt_1530_bar,pct_935_to_1030,pct_935_to_1230,pct_945_to_1230,pct_935_to_1530,notes
HMY,2026-09-17,put,19.98,2026-10-16,next_month,20.0,HMY261016P00020000,,,1.5,,,,no bar,no bar,no bar,,,,,no 12:30/3:30 bars yet; chain lastPrice=1.5; tried this_week:2026-09-18(no 12:30/3:30)
FTAI,2026-09-17,put,198.47,2026-10-16,next_month,200.0,FTAI261016P00200000,,,,,,,no bar,no bar,no bar,,,,,no 12:30/3:30 bars yet; chain lastPrice=15.2; tried this_week:2026-09-18(no 12:30/3:30)
SMCI,2026-09-17,put,38.61,2026-09-18,this_week,38.5,SMCI260918P00038500,0.79,0.8,0.64,0.39,0.13,,5m 10:25-10:30,15m 12:15-12:30,no bar,-51.3,-83.8,-79.7,,
STRL,2026-09-17,put,508.32,2026-10-16,next_month,510.0,STRL261016P00510000,,,,,,,no bar,no bar,no bar,,,,,no 12:30/3:30 bars yet; chain lastPrice=54.2; tried this_week:2026-09-18(no 12:30/3:30)
DOCN,2026-09-17,put,132.8224,2026-10-16,next_month,135.0,DOCN261016P00135000,,,,,,,no bar,no bar,no bar,,,,,no 12:30/3:30 bars yet; chain lastPrice=12.46; tried this_week:2026-09-18(no 12:30/3:30)
BE,2026-09-17,put,286.5,2026-10-16,next_month,290.0,BE261016P00290000,27.17,27.17,28.7,30.95,30.15,,5m 10:25-10:30,15m 12:15-12:30,no bar,13.9,11.0,5.1,,fell back after this_week:2026-09-18(no 12:30/3:30)
MOD,2026-09-17,put,189.1,2026-10-16,next_month,190.0,MOD261016P00190000,,,,15.0,,,5m 10:30-10:35,no bar,no bar,,,,,no 12:30/3:30 bars yet; chain lastPrice=14.9; tried this_week:2026-09-18(no 12:30/3:30)
FPS,2026-09-17,put,36.9,2026-09-18,this_week,37.5,FPS260918P00037500,1.1,1.15,1.25,1.0,0.75,,15m 10:15-10:30,15m 12:15-12:30,no bar,-13.0,-34.8,-40.0,,
TEM,2026-09-17,put,74.51,2026-09-18,this_week,75.0,TEM260918P00075000,,1.4,1.4,0.5,0.33,,5m 10:25-10:30,5m 12:25-12:30,no bar,-64.3,-76.4,-76.4,,
ALAB,2026-09-17,put,283.88,2026-10-16,next_month,280.0,ALAB261016P00280000,21.55,21.55,22.0,22.25,,,5m 10:25-10:30,no bar,no bar,3.2,,,,no 12:30/3:30 bars yet; chain lastPrice=18.33; tried this_week:2026-09-18(no 12:30/3:30)
MRNA,2026-09-17,put,151.25,2026-09-18,this_week,150.0,MRNA260918P00150000,4.45,2.95,1.8,0.55,1.05,,5m 10:25-10:30,5m 12:25-12:30,no bar,-81.4,-64.4,-41.7,,
IONQ,2026-09-17,put,38.75,2026-09-18,this_week,38.5,IONQ260918P00038500,0.8,0.8,0.56,0.36,0.1,,5m 10:25-10:30,15m 12:15-12:30,no bar,-55.0,-87.5,-82.1,,
HOOD,2026-09-17,put,109.3,2026-09-18,this_week,109.0,HOOD260918P00109000,1.89,1.94,2.75,2.46,2.48,,5m 10:25-10:30,5m 12:25-12:30,no bar,26.8,27.8,-9.8,,
ASTS,2026-09-17,put,61.5,2026-09-18,this_week,61.0,ASTS260918P00061000,,0.65,0.65,0.6,0.35,,5m 10:25-10:30,5m 12:25-12:30,no bar,-7.7,-46.2,-46.2,,
GFL,2026-09-17,put,43.56,2026-10-16,next_month,45.0,GFL261016P00045000,,,,,3.3,,no bar,15m 12:15-12:30,no bar,,,,,fell back after this_week:2026-09-18(no 12:30/3:30)
IREN,2026-09-17,put,45.85,2026-09-18,this_week,46.0,IREN260918P00046000,1.17,1.19,3.0,3.3,2.72,,5m 10:25-10:30,15m 12:30-12:45,no bar,177.3,128.6,-9.3,,
ARM,2026-09-17,put,258.01,2026-09-18,this_week,257.5,ARM260918P00257500,3.88,5.75,5.75,2.92,3.25,,15m 10:15-10:30,15m 12:15-12:30,no bar,-49.2,-43.5,-43.5,,
GLW,2026-09-17,put,151.16,2026-09-18,this_week,150.0,GLW260918P00150000,2.0,2.1,1.1,2.93,3.05,,5m 10:25-10:30,15m 12:15-12:30,no bar,39.5,45.2,177.3,,
CIEN,2026-09-17,put,360.52,2026-09-18,this_week,360.0,CIEN260918P00360000,10.68,10.68,5.5,8.05,7.8,,5m 10:10 (t-20m),15m 12:15-12:30,no bar,-24.6,-27.0,41.8,,
MRVL,2026-09-17,put,243.02,2026-09-18,this_week,242.5,MRVL260918P00242500,4.22,4.9,3.7,4.88,3.5,,5m 10:25-10:30,5m 12:25-12:30,no bar,-0.4,-28.6,-5.4,,
MU,2026-09-17,put,973.7899,2026-09-18,this_week,975.0,MU260918P00975000,20.12,15.8,12.8,12.65,11.35,,5m 10:25-10:30,5m 12:25-12:30,no bar,-19.9,-28.2,-11.3,,
TOTAL,2026-09-17,put,4205.8023,,21 names,4210.5,,99.82000000000001,98.83,93.1,108.79,70.31,0.0,,,,,-13.3,,,Sums skip blanks. Paired 9:32→9:45 n=13
