ticker,session,right,spot_935,expiry,expiry_kind,strike,option_symbol,opt_932,opt_935,opt_945,opt_1230,opt_1530,opt_1230_bar,opt_1530_bar,pct_935_to_1230,pct_945_to_1230,pct_935_to_1530,notes
CDNS,2026-09-23,call,309.97,2026-09-25,this_week,310.0,CDNS260925C00310000,,5.5,5.5,,6.0,no bar,5m 15:10 (t-20m),,,9.1,
HUBS,2026-09-23,call,219.5,2026-10-16,this_month,220.0,HUBS261016C00220000,14.2,14.2,15.0,19.85,20.0,15m 12:15-12:30,5m 15:25-15:30,39.8,32.3,40.8,
PLTR,2026-09-23,call,185.8521,2026-09-25,this_week,185.0,PLTR260925C00185000,2.5,3.7,9.15,7.27,7.73,5m 12:25-12:30,5m 15:25-15:30,96.5,-20.5,108.9,
ONON,2026-09-23,call,29.9,2026-09-25,this_week,30.0,ONON260925C00030000,0.61,0.59,0.42,0.68,0.63,5m 12:25-12:30,15m 15:15-15:30,15.3,61.9,6.8,
SNPS,2026-09-23,call,416.87,2026-11-20,next_month,420.0,SNPS261120C00420000,,,,,,no bar,no bar,,,,"no 12:30/3:30 bars yet; chain lastPrice=28.0; tried this_week:2026-09-25(no 12:30/3:30), this_month:2026-10-16(no 12:30/3:30)"
LPLA,2026-09-23,call,312.01,2026-11-20,next_month,310.0,LPLA261120C00310000,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=19.88; tried this_month:2026-10-16(no 12:30/3:30)
NVS,2026-09-23,call,143.6,2026-11-20,next_month,145.0,NVS261120C00145000,,,5.0,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=4.9; tried this_month:2026-10-16(no 12:30/3:30)
SMCI,2026-09-23,call,42.0901,2026-09-25,this_week,42.0,SMCI260925C00042000,1.48,1.3,0.93,0.78,0.83,5m 12:25-12:30,5m 15:25-15:30,-40.0,-16.1,-36.2,
CRWV,2026-09-23,call,87.645,2026-09-25,this_week,88.0,CRWV260925C00088000,2.3,2.32,2.31,2.38,2.3,5m 12:25-12:30,5m 15:25-15:30,2.6,3.0,-0.9,
MCO,2026-09-23,call,469.035,2026-11-20,next_month,470.0,MCO261120C00470000,,,,24.2,,15m 12:15-12:30,no bar,,,,fell back after this_month:2026-10-16(no 12:30/3:30)
UHS,2026-09-23,call,180.2,2026-11-20,next_month,180.0,UHS261120C00180000,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=8.7; tried this_month:2026-10-16(no 12:30/3:30)
BP,2026-09-23,call,43.99,2026-10-16,this_month,44.0,BP261016C00044000,,1.48,1.48,,1.75,no bar,15m 15:30-15:45,,,18.2,fell back after this_week:2026-09-25(no 12:30/3:30)
TWLO,2026-09-23,call,285.74,2026-09-25,this_week,285.0,TWLO260925C00285000,,9.3,9.3,,8.05,no bar,15m 15:15-15:30,,,-13.4,
