ticker,session,right,spot_935,expiry,expiry_kind,strike,option_symbol,opt_932,opt_935,opt_945,opt_1230,opt_1530,opt_1230_bar,opt_1530_bar,pct_935_to_1230,pct_945_to_1230,pct_935_to_1530,notes
OKTA,2026-08-27,call,163.94,2026-08-28,this_week,165.0,OKTA260828C00165000,4.2,3.6,5.6,8.0,,5m 12:25-12:30,no bar,122.2,42.9,,
VEEV,2026-08-27,call,281.88,2026-09-18,this_month,280.0,VEEV260918C00280000,12.6,12.6,19.21,15.7,,5m 12:25-12:30,no bar,24.6,-18.3,,
CRM,2026-08-27,call,235.15,2026-08-28,this_week,235.0,CRM260828C00235000,3.5,4.45,10.33,12.67,,15m 12:15-12:30,no bar,184.7,22.7,,
CRWD,2026-08-27,call,216.7744,2026-08-28,this_week,217.5,CRWD260828C00217500,3.45,4.25,6.3,6.35,,15m 12:15-12:30,no bar,49.4,0.8,,
NTNX,2026-08-27,call,72.505,2026-09-18,this_month,72.5,NTNX260918C00072500,4.0,3.28,2.99,2.25,,15m 12:28 (t-2m),no bar,-31.4,-24.7,,
PANW,2026-08-27,call,367.26,2026-08-28,this_week,367.5,PANW260828C00367500,2.82,2.82,9.4,15.0,,15m 12:11 (t-19m),no bar,431.9,59.6,,
SAIL,2026-08-27,call,19.5,2026-09-18,this_month,20.0,SAIL260918C00020000,1.49,1.49,1.86,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=2.1
DOCN,2026-08-27,call,123.43,2026-08-28,this_week,123.0,DOCN260828C00123000,2.72,2.72,2.17,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=2.25
ZS,2026-08-27,call,182.33,2026-08-28,this_week,182.5,ZS260828C00182500,2.75,2.75,5.11,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=6.45
CRDO,2026-08-27,call,241.755,2026-08-28,this_week,242.5,CRDO260828C00242500,6.31,5.95,6.39,2.6,,15m 12:11 (t-19m),no bar,-56.3,-59.3,,
RBRK,2026-08-27,call,103.26,2026-08-28,this_week,103.0,RBRK260828C00103000,,7.3,7.3,8.17,,15m 12:30-12:45,no bar,11.9,11.9,,
DDOG,2026-08-27,call,241.8422,2026-08-28,this_week,242.5,DDOG260828C00242500,,6.25,6.25,4.0,,15m 12:10 (t-20m),no bar,-36.0,-36.0,,
AMKR,2026-08-27,call,51.72,2026-08-28,this_week,52.0,AMKR260828C00052000,1.27,1.19,1.0,0.75,,15m 12:14 (t-16m),no bar,-37.0,-25.0,,
FROG,2026-08-27,call,98.36,2026-09-18,this_month,97.5,FROG260918C00097500,6.49,6.49,7.9,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=8.3
NOW,2026-08-27,call,132.415,2026-08-28,this_week,132.0,NOW260828C00132000,2.35,2.59,4.85,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=5.4
TEAM,2026-08-27,call,177.385,2026-08-28,this_week,177.5,TEAM260828C00177500,1.74,1.74,3.35,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=4.95
NVDA,2026-08-27,call,222.2984,2026-08-28,this_week,222.5,NVDA260828C00222500,4.45,2.99,4.3,6.55,,5m 12:25-12:30,no bar,119.1,52.3,,
FIG,2026-08-27,call,28.49,2026-08-28,this_week,28.5,FIG260828C00028500,0.54,0.6,0.9,2.05,,15m 12:13 (t-17m),no bar,241.7,127.8,,
DG,2026-08-27,call,128.0349,2026-08-28,this_week,128.0,DG260828C00128000,1.75,2.0,3.15,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=2.9
CLS,2026-08-27,call,319.85,2026-08-28,this_week,320.0,CLS260828C00320000,6.05,6.05,8.2,4.18,,5m 12:25-12:30,no bar,-30.9,-49.0,,
NET,2026-08-27,call,298.75,2026-08-28,this_week,297.5,NET260828C00297500,4.45,5.4,5.33,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=7.14
HUBS,2026-08-27,call,247.045,2026-09-18,this_month,250.0,HUBS260918C00250000,,,19.15,19.0,,15m 12:15-12:30,no bar,,-0.8,,
NBIS,2026-08-27,call,223.317,2026-08-28,this_week,222.5,NBIS260828C00222500,7.35,6.7,6.2,3.25,,5m 12:25-12:30,no bar,-51.5,-47.6,,
SOXL,2026-08-27,call,122.71,2026-08-28,this_week,123.0,SOXL260828C00123000,4.83,4.75,4.13,2.33,,15m 12:15-12:30,no bar,-50.9,-43.6,,
TOTAL,2026-08-27,call,4300.0019,,24 names,4302.0,,85.11,97.96,151.37,112.85,,,,29.0,-4.1,,Includes 9:32 (1m). Sums skip blanks.
