ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-07 13:30:00+00:00,2,44.375,44.5,44.25,44.5,44.25,1778160600000,2
2026-05-07 13:32:00+00:00,1,41.7,41.7,41.7,41.7,41.7,1778160720000,1
2026-05-07 13:33:00+00:00,1,41.4,41.4,41.4,41.4,41.4,1778160780000,1
2026-05-07 13:35:00+00:00,6,39.7833,39.7,39.8,39.8,39.7,1778160900000,2
2026-05-07 13:36:00+00:00,6,40.05,40.08,39.9,40.08,39.9,1778160960000,5
2026-05-07 13:37:00+00:00,20,40.475,40.0,40.5,40.5,40.0,1778161020000,2
2026-05-07 13:40:00+00:00,7,40.2357,39.85,40.3,40.3,39.85,1778161200000,2
2026-05-07 13:42:00+00:00,7,39.56,39.21,39.7,39.7,39.21,1778161320000,3
2026-05-07 13:43:00+00:00,4,38.68,38.68,38.68,38.68,38.68,1778161380000,1
2026-05-07 13:44:00+00:00,4,39.1375,39.85,38.9,39.85,38.9,1778161440000,2
2026-05-07 13:45:00+00:00,5,37.886,39.5,36.92,39.5,36.92,1778161500000,4
2026-05-07 13:46:00+00:00,10,38.43,38.5,38.6,38.6,38.4,1778161560000,4
2026-05-07 13:47:00+00:00,12,36.2667,36.55,35.7,36.55,35.7,1778161620000,2
2026-05-07 13:48:00+00:00,8,36.5,36.5,36.5,36.5,36.5,1778161680000,2
2026-05-07 13:51:00+00:00,9,35.2,35.2,35.2,35.2,35.2,1778161860000,1
2026-05-07 13:52:00+00:00,5,36.1,36.1,36.1,36.1,36.1,1778161920000,1
2026-05-07 13:53:00+00:00,1,35.4,35.4,35.4,35.4,35.4,1778161980000,1
2026-05-07 13:54:00+00:00,1,36.4,36.4,36.4,36.4,36.4,1778162040000,1
2026-05-07 13:56:00+00:00,6,38.4667,37.8,38.6,38.6,37.8,1778162160000,3
2026-05-07 13:58:00+00:00,1,35.7,35.7,35.7,35.7,35.7,1778162280000,1
2026-05-07 13:59:00+00:00,13,35.3923,35.5,35.3,35.5,35.3,1778162340000,2
2026-05-07 14:00:00+00:00,6,36.0,36.0,36.0,36.0,36.0,1778162400000,1
2026-05-07 14:01:00+00:00,3,37.2,37.2,37.2,37.2,37.2,1778162460000,2
2026-05-07 14:02:00+00:00,6,37.5,37.5,37.5,37.5,37.5,1778162520000,1
2026-05-07 14:03:00+00:00,3,37.5,37.5,37.5,37.5,37.5,1778162580000,1
2026-05-07 14:04:00+00:00,7,38.8,38.8,39.0,39.0,38.6,1778162640000,3
2026-05-07 14:05:00+00:00,7,40.2429,40.2,40.3,40.3,40.2,1778162700000,3
2026-05-07 14:06:00+00:00,5,41.408,41.5,41.04,41.5,41.04,1778162760000,4
2026-05-07 14:07:00+00:00,10,41.5,41.5,41.5,41.5,41.5,1778162820000,1
2026-05-07 14:08:00+00:00,4,41.375,41.6,40.7,41.6,40.7,1778162880000,2
2026-05-07 14:09:00+00:00,8,39.775,40.3,39.7,40.3,39.7,1778162940000,2
2026-05-07 14:10:00+00:00,5,39.7,39.7,39.7,39.7,39.7,1778163000000,1
2026-05-07 14:11:00+00:00,8,40.2,40.2,40.2,40.2,40.2,1778163060000,2
2026-05-07 14:12:00+00:00,2,40.93,40.9,40.96,40.96,40.9,1778163120000,2
2026-05-07 14:13:00+00:00,1,40.17,40.17,40.17,40.17,40.17,1778163180000,1
2026-05-07 14:14:00+00:00,5,38.8,38.8,38.8,38.8,38.8,1778163240000,1
2026-05-07 14:15:00+00:00,3,39.1067,39.1,39.11,39.11,39.1,1778163300000,3
2026-05-07 14:16:00+00:00,11,38.0009,38.71,38.3,38.71,37.56,1778163360000,4
2026-05-07 14:17:00+00:00,5,39.3,39.3,39.3,39.3,39.3,1778163420000,1
2026-05-07 14:18:00+00:00,4,39.8,39.8,39.8,39.8,39.8,1778163480000,1
2026-05-07 14:19:00+00:00,1,39.08,39.08,39.08,39.08,39.08,1778163540000,1
2026-05-07 14:21:00+00:00,15,40.9653,41.2,40.8,41.5,40.68,1778163660000,5
2026-05-07 14:22:00+00:00,5,41.4,41.2,41.6,41.6,41.2,1778163720000,4
2026-05-07 14:23:00+00:00,3,39.5933,40.78,39.0,40.78,39.0,1778163780000,2
2026-05-07 14:24:00+00:00,1,39.4,39.4,39.4,39.4,39.4,1778163840000,1
2026-05-07 14:25:00+00:00,4,40.825,40.9,40.6,40.9,40.6,1778163900000,4
2026-05-07 14:26:00+00:00,4,40.675,40.9,40.6,40.9,40.6,1778163960000,2
2026-05-07 14:27:00+00:00,3,40.6,40.8,40.1,40.9,40.1,1778164020000,3
2026-05-07 14:28:00+00:00,1,41.0,41.0,41.0,41.0,41.0,1778164080000,1
2026-05-07 14:29:00+00:00,1,39.1,39.1,39.1,39.1,39.1,1778164140000,1
2026-05-07 14:31:00+00:00,6,39.725,39.6,40.35,40.35,39.6,1778164260000,2
2026-05-07 14:32:00+00:00,2,40.1,40.1,40.1,40.1,40.1,1778164320000,2
2026-05-07 14:33:00+00:00,6,40.2833,40.2,40.7,40.7,40.2,1778164380000,2
2026-05-07 14:34:00+00:00,1,40.4,40.4,40.4,40.4,40.4,1778164440000,1
2026-05-07 14:36:00+00:00,4,39.6,39.6,39.6,39.6,39.6,1778164560000,1
2026-05-07 14:37:00+00:00,2,41.5,41.5,41.5,41.5,41.5,1778164620000,2
2026-05-07 14:39:00+00:00,3,42.32,42.32,42.32,42.32,42.32,1778164740000,1
2026-05-07 14:40:00+00:00,6,43.1867,43.01,43.5,43.5,43.01,1778164800000,5
2026-05-07 14:41:00+00:00,3,43.6,43.6,43.6,43.6,43.6,1778164860000,2
2026-05-07 14:42:00+00:00,10,43.28,43.2,43.2,43.4,43.2,1778164920000,6
2026-05-07 14:46:00+00:00,8,45.1025,45.2,45.04,45.21,45.04,1778165160000,3
2026-05-07 14:47:00+00:00,16,45.6625,45.66,45.7,45.7,45.66,1778165220000,2
2026-05-07 14:49:00+00:00,2,43.52,43.52,43.52,43.52,43.52,1778165340000,2
2026-05-07 14:52:00+00:00,5,45.072,45.03,45.1,45.1,45.03,1778165520000,3
2026-05-07 14:53:00+00:00,3,45.9667,46.0,45.95,46.0,45.95,1778165580000,2
2026-05-07 14:54:00+00:00,3,46.1,46.1,46.1,46.1,46.1,1778165640000,1
2026-05-07 14:55:00+00:00,12,48.6892,48.0,48.75,48.77,48.0,1778165700000,7
2026-05-07 15:01:00+00:00,4,48.18,48.81,47.55,48.81,47.55,1778166060000,3
2026-05-07 15:17:00+00:00,8,45.86,45.86,45.86,45.86,45.86,1778167020000,1
2026-05-07 15:23:00+00:00,1,43.99,43.99,43.99,43.99,43.99,1778167380000,1
2026-05-07 15:26:00+00:00,2,40.8,40.8,40.8,40.8,40.8,1778167560000,2
2026-05-07 15:27:00+00:00,3,40.4,40.4,40.4,40.4,40.4,1778167620000,1
2026-05-07 15:28:00+00:00,5,39.606,39.5,40.1,40.1,39.43,1778167680000,3
2026-05-07 15:38:00+00:00,3,45.49,45.5,45.47,45.5,45.47,1778168280000,2
2026-05-07 15:39:00+00:00,2,44.5,44.5,44.5,44.5,44.5,1778168340000,1
2026-05-07 15:42:00+00:00,7,43.6571,43.6,43.8,43.8,43.6,1778168520000,2
2026-05-07 15:44:00+00:00,1,43.82,43.82,43.82,43.82,43.82,1778168640000,1
2026-05-07 15:45:00+00:00,1,44.6,44.6,44.6,44.6,44.6,1778168700000,1
2026-05-07 15:46:00+00:00,4,42.9,43.5,42.7,43.5,42.7,1778168760000,2
2026-05-07 15:48:00+00:00,1,43.13,43.13,43.13,43.13,43.13,1778168880000,1
2026-05-07 15:50:00+00:00,9,40.1,40.1,40.1,40.1,40.1,1778169000000,2
2026-05-07 15:52:00+00:00,14,39.3714,39.2,39.2,40.0,39.2,1778169120000,4
2026-05-07 15:53:00+00:00,11,39.73,39.7,40.03,40.03,39.7,1778169180000,2
2026-05-07 15:55:00+00:00,3,40.2,40.5,39.6,40.5,39.6,1778169300000,2
2026-05-07 15:57:00+00:00,1,38.4,38.4,38.4,38.4,38.4,1778169420000,1
2026-05-07 15:58:00+00:00,56,36.3625,36.4,36.05,36.4,36.05,1778169480000,7
2026-05-07 15:59:00+00:00,6,34.3167,35.4,34.1,35.4,34.1,1778169540000,2
2026-05-07 16:00:00+00:00,70,33.3371,33.43,33.3,33.43,33.3,1778169600000,9
2026-05-07 16:01:00+00:00,21,33.1381,33.2,32.9,33.2,32.9,1778169660000,5
2026-05-07 16:02:00+00:00,20,32.4,32.0,32.8,32.8,32.0,1778169720000,5
2026-05-07 16:03:00+00:00,59,33.8051,34.3,34.4,34.4,33.7,1778169780000,7
2026-05-07 16:05:00+00:00,4,31.8,31.7,31.7,32.0,31.7,1778169900000,4
2026-05-07 16:06:00+00:00,1,30.8,30.8,30.8,30.8,30.8,1778169960000,1
2026-05-07 16:08:00+00:00,2,30.745,30.39,31.1,31.1,30.39,1778170080000,2
2026-05-07 16:10:00+00:00,25,31.0,31.0,31.0,31.0,31.0,1778170200000,5
2026-05-07 16:11:00+00:00,1,30.0,30.0,30.0,30.0,30.0,1778170260000,1
2026-05-07 16:12:00+00:00,17,29.4882,29.6,29.16,29.6,29.16,1778170320000,8
2026-05-07 16:13:00+00:00,1,29.0,29.0,29.0,29.0,29.0,1778170380000,1
2026-05-07 16:14:00+00:00,1,28.65,28.65,28.65,28.65,28.65,1778170440000,1
2026-05-07 16:15:00+00:00,32,26.4569,28.2,25.21,28.2,25.21,1778170500000,10
