ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-08 13:30:00+00:00,1,21.14,21.14,21.14,21.14,21.14,1778247000000,1
2026-05-08 13:32:00+00:00,5,17.094,17.06,17.22,17.22,17.06,1778247120000,3
2026-05-08 13:34:00+00:00,1,17.03,17.03,17.03,17.03,17.03,1778247240000,1
2026-05-08 13:35:00+00:00,3,16.5333,16.6,16.5,16.6,16.5,1778247300000,2
2026-05-08 13:36:00+00:00,2,16.5,16.5,16.5,16.5,16.5,1778247360000,1
2026-05-08 13:38:00+00:00,3,17.0333,16.9,17.1,17.1,16.9,1778247480000,3
2026-05-08 13:40:00+00:00,9,18.0889,17.7,17.9,19.0,17.7,1778247600000,7
2026-05-08 13:44:00+00:00,8,16.955,16.97,17.1,17.1,16.8,1778247840000,3
2026-05-08 13:45:00+00:00,1,15.9,15.9,15.9,15.9,15.9,1778247900000,1
2026-05-08 13:46:00+00:00,1,15.2,15.2,15.2,15.2,15.2,1778247960000,1
2026-05-08 13:47:00+00:00,10,14.569,14.8,14.41,14.9,14.41,1778248020000,9
2026-05-08 13:48:00+00:00,1,14.47,14.47,14.47,14.47,14.47,1778248080000,1
2026-05-08 13:49:00+00:00,3,14.4,14.4,14.4,14.4,14.4,1778248140000,2
2026-05-08 13:50:00+00:00,1,14.5,14.5,14.5,14.5,14.5,1778248200000,1
2026-05-08 13:52:00+00:00,1,14.2,14.2,14.2,14.2,14.2,1778248320000,1
2026-05-08 13:53:00+00:00,5,14.16,14.3,13.9,14.3,13.9,1778248380000,3
2026-05-08 13:54:00+00:00,8,14.725,14.7,14.7,14.9,14.7,1778248440000,7
2026-05-08 13:57:00+00:00,1,14.4,14.4,14.4,14.4,14.4,1778248620000,1
2026-05-08 13:58:00+00:00,2,14.3,14.3,14.3,14.3,14.3,1778248680000,1
2026-05-08 13:59:00+00:00,12,13.4,13.9,12.7,13.9,12.7,1778248740000,2
2026-05-08 14:00:00+00:00,2,12.85,12.8,12.9,12.9,12.8,1778248800000,2
2026-05-08 14:01:00+00:00,4,13.5,13.5,13.5,13.5,13.5,1778248860000,1
2026-05-08 14:02:00+00:00,1,13.2,13.2,13.2,13.2,13.2,1778248920000,1
2026-05-08 14:03:00+00:00,2,12.565,12.67,12.46,12.67,12.46,1778248980000,2
2026-05-08 14:05:00+00:00,1,12.64,12.64,12.64,12.64,12.64,1778249100000,1
2026-05-08 14:06:00+00:00,10,13.16,13.0,13.2,13.2,13.0,1778249160000,4
2026-05-08 14:09:00+00:00,5,12.85,12.85,12.85,12.85,12.85,1778249340000,5
2026-05-08 14:10:00+00:00,3,13.3,13.3,13.3,13.3,13.3,1778249400000,1
2026-05-08 14:13:00+00:00,4,12.67,12.67,12.67,12.67,12.67,1778249580000,4
2026-05-08 14:15:00+00:00,3,12.9367,12.87,12.97,12.97,12.87,1778249700000,3
2026-05-08 14:19:00+00:00,30,12.9933,12.92,13.03,13.03,12.92,1778249940000,11
2026-05-08 14:20:00+00:00,2,12.8,12.8,12.8,12.8,12.8,1778250000000,2
