ts,Open,High,Low,Close,Volume
2026-04-09 13:30:00+00:00,15.26,15.6,13.2,13.5,174
2026-04-09 13:31:00+00:00,13.47,15.2,12.6,15.0,278
2026-04-09 13:32:00+00:00,15.04,15.3,13.0,13.0,312
2026-04-09 13:33:00+00:00,12.7,14.5,12.6,14.5,157
2026-04-09 13:34:00+00:00,14.6,14.82,12.27,12.8,468
2026-04-09 13:35:00+00:00,12.8,13.7,12.2,12.3,361
2026-04-09 13:36:00+00:00,12.46,15.68,12.46,15.1,518
2026-04-09 13:37:00+00:00,15.0,15.9,13.6,13.8,248
2026-04-09 13:38:00+00:00,13.6,14.5,13.4,13.5,173
2026-04-09 13:39:00+00:00,14.0,14.7,13.3,14.6,203
2026-04-09 13:40:00+00:00,14.4,14.7,13.2,13.8,264
2026-04-09 13:41:00+00:00,13.9,15.8,13.8,15.57,317
2026-04-09 13:42:00+00:00,15.6,16.4,14.8,16.4,411
2026-04-09 13:43:00+00:00,16.3,18.1,15.9,17.4,413
2026-04-09 13:44:00+00:00,17.2,17.2,15.7,16.3,215
2026-04-09 13:45:00+00:00,16.4,17.3,14.8,16.04,255
2026-04-09 13:46:00+00:00,16.1,17.01,15.41,16.2,165
2026-04-09 13:47:00+00:00,16.0,16.1,14.5,14.7,153
2026-04-09 13:48:00+00:00,14.6,16.0,13.9,16.0,197
2026-04-09 13:49:00+00:00,15.7,16.41,15.2,16.0,169
2026-04-09 13:50:00+00:00,15.88,15.88,14.0,14.1,167
2026-04-09 13:51:00+00:00,14.0,14.1,12.35,12.85,304
2026-04-09 13:52:00+00:00,12.97,13.9,12.78,13.2,251
2026-04-09 13:53:00+00:00,13.11,14.3,12.8,13.9,255
2026-04-09 13:54:00+00:00,14.0,14.8,12.65,12.7,207
2026-04-09 13:55:00+00:00,12.6,13.6,12.2,13.1,146
2026-04-09 13:56:00+00:00,13.3,13.3,11.7,12.7,299
2026-04-09 13:57:00+00:00,12.8,14.63,12.8,14.0,551
2026-04-09 13:58:00+00:00,14.02,14.3,13.2,13.6,361
2026-04-09 13:59:00+00:00,13.5,14.54,13.4,14.2,125
2026-04-09 14:00:00+00:00,14.4,14.6,13.0,13.5,378
2026-04-09 14:01:00+00:00,13.4,13.8,12.4,13.8,461
2026-04-09 14:02:00+00:00,13.9,14.1,12.68,13.12,484
2026-04-09 14:03:00+00:00,13.0,14.1,11.9,13.97,467
2026-04-09 14:04:00+00:00,13.9,14.6,13.3,13.99,341
2026-04-09 14:05:00+00:00,13.9,15.67,13.5,14.5,278
2026-04-09 14:06:00+00:00,14.4,14.6,13.4,13.4,134
2026-04-09 14:07:00+00:00,13.23,13.8,12.68,12.68,158
2026-04-09 14:08:00+00:00,12.7,13.5,12.3,13.5,185
2026-04-09 14:09:00+00:00,13.45,13.8,11.8,11.8,232
2026-04-09 14:10:00+00:00,11.8,12.5,10.78,11.9,361
2026-04-09 14:11:00+00:00,11.8,11.82,10.9,11.6,186
2026-04-09 14:12:00+00:00,11.7,14.43,11.4,13.46,424
2026-04-09 14:13:00+00:00,13.5,13.8,11.4,11.5,188
2026-04-09 14:14:00+00:00,11.3,11.3,10.52,10.9,219
2026-04-09 14:15:00+00:00,10.7,10.7,9.6,9.6,344
2026-04-09 14:16:00+00:00,9.7,9.8,8.6,9.3,450
2026-04-09 14:17:00+00:00,9.37,9.6,8.7,9.0,228
2026-04-09 14:18:00+00:00,8.9,9.2,8.6,8.7,135
2026-04-09 14:19:00+00:00,8.75,9.04,8.3,8.95,202
2026-04-09 14:20:00+00:00,9.0,10.2,8.9,9.8,252
2026-04-09 14:21:00+00:00,9.9,10.3,8.74,9.27,246
2026-04-09 14:22:00+00:00,9.22,9.22,8.4,8.8,149
2026-04-09 14:23:00+00:00,8.87,9.9,8.87,9.61,129
2026-04-09 14:24:00+00:00,9.7,10.2,8.9,9.3,126
2026-04-09 14:25:00+00:00,9.2,9.2,8.2,8.3,134
2026-04-09 14:26:00+00:00,8.32,8.6,7.4,7.5,202
2026-04-09 14:27:00+00:00,7.5,7.65,7.1,7.25,174
2026-04-09 14:28:00+00:00,7.25,7.7,6.97,7.6,134
2026-04-09 14:29:00+00:00,7.4,7.68,6.92,7.65,114
2026-04-09 14:30:00+00:00,7.8,8.5,7.3,8.1,372
2026-04-09 14:31:00+00:00,8.2,8.25,7.3,7.4,117
2026-04-09 14:32:00+00:00,7.36,7.57,6.9,6.9,217
2026-04-09 14:33:00+00:00,6.88,7.2,6.5,6.7,130
2026-04-09 14:34:00+00:00,6.9,7.4,6.78,7.24,118
2026-04-09 14:35:00+00:00,7.4,7.5,6.9,7.22,151
2026-04-09 14:36:00+00:00,7.2,7.2,6.6,6.68,130
2026-04-09 14:37:00+00:00,6.65,8.2,6.65,7.93,162
2026-04-09 14:38:00+00:00,7.6,8.0,7.3,7.4,104
2026-04-09 14:39:00+00:00,7.5,8.74,7.25,8.45,273
2026-04-09 14:40:00+00:00,8.47,9.19,7.95,8.2,452
2026-04-09 14:41:00+00:00,8.1,8.25,7.4,7.5,105
2026-04-09 14:42:00+00:00,7.7,8.0,7.3,8.0,97
2026-04-09 14:43:00+00:00,8.0,8.66,8.0,8.2,235
2026-04-09 14:44:00+00:00,8.0,8.11,7.37,7.6,106
2026-04-09 14:45:00+00:00,7.4,9.4,7.32,9.3,154
2026-04-09 14:46:00+00:00,9.2,9.2,8.2,8.45,239
2026-04-09 14:47:00+00:00,8.6,9.3,8.6,8.7,188
2026-04-09 14:48:00+00:00,8.7,9.62,8.7,9.0,262
2026-04-09 14:49:00+00:00,8.83,9.3,8.4,9.2,236
2026-04-09 14:50:00+00:00,9.0,10.5,8.9,9.32,589
2026-04-09 14:51:00+00:00,9.4,10.5,9.2,9.5,394
2026-04-09 14:52:00+00:00,9.4,10.0,9.3,9.95,247
2026-04-09 14:53:00+00:00,10.0,10.68,9.64,10.51,226
2026-04-09 14:54:00+00:00,10.52,10.8,10.2,10.73,438
2026-04-09 14:55:00+00:00,10.9,12.77,10.2,11.5,845
2026-04-09 14:56:00+00:00,11.5,11.5,10.1,10.3,306
2026-04-09 14:57:00+00:00,10.3,10.6,9.9,10.4,174
2026-04-09 14:58:00+00:00,10.3,11.2,10.3,11.2,206
2026-04-09 14:59:00+00:00,11.33,11.63,10.6,11.6,285
2026-04-09 15:00:00+00:00,11.6,11.9,10.82,11.8,188
2026-04-09 15:01:00+00:00,11.7,11.7,10.6,10.8,221
2026-04-09 15:02:00+00:00,10.97,11.45,10.15,10.6,247
2026-04-09 15:03:00+00:00,10.7,11.03,9.15,9.25,288
2026-04-09 15:04:00+00:00,9.3,9.9,8.4,9.85,488
2026-04-09 15:05:00+00:00,9.9,10.7,9.6,10.6,365
2026-04-09 15:06:00+00:00,10.4,10.7,10.0,10.0,166
2026-04-09 15:07:00+00:00,10.0,10.5,9.6,9.6,109
2026-04-09 15:08:00+00:00,9.4,10.24,9.1,9.8,205
2026-04-09 15:09:00+00:00,9.9,10.6,9.9,10.08,135
2026-04-09 15:10:00+00:00,10.1,11.41,10.0,11.1,208
2026-04-09 15:11:00+00:00,11.0,11.08,10.2,10.3,148
2026-04-09 15:12:00+00:00,10.2,12.07,10.0,11.8,395
2026-04-09 15:13:00+00:00,11.9,13.16,11.6,12.7,317
2026-04-09 15:14:00+00:00,12.7,14.2,12.4,13.53,455
