ts,Open,High,Low,Close,Volume
2026-04-23 13:30:00+00:00,16.2,18.0,15.4,15.88,275
2026-04-23 13:31:00+00:00,15.9,16.03,14.58,15.0,449
2026-04-23 13:32:00+00:00,14.9,15.21,13.7,13.9,385
2026-04-23 13:33:00+00:00,13.9,15.3,13.7,14.4,265
2026-04-23 13:34:00+00:00,14.9,16.3,14.8,15.85,288
2026-04-23 13:35:00+00:00,15.8,16.53,14.0,14.2,380
2026-04-23 13:36:00+00:00,13.9,14.5,12.85,12.85,352
2026-04-23 13:37:00+00:00,13.0,13.7,13.0,13.3,171
2026-04-23 13:38:00+00:00,13.2,14.1,12.2,12.3,230
2026-04-23 13:39:00+00:00,12.5,12.5,11.6,11.93,235
2026-04-23 13:40:00+00:00,11.9,13.5,11.0,11.3,352
2026-04-23 13:41:00+00:00,11.3,11.7,10.6,10.85,233
2026-04-23 13:42:00+00:00,10.9,11.45,10.6,10.6,246
2026-04-23 13:43:00+00:00,10.6,10.8,10.3,10.3,150
2026-04-23 13:44:00+00:00,10.5,10.5,9.8,9.9,106
2026-04-23 13:45:00+00:00,9.92,10.55,9.8,10.1,262
2026-04-23 13:46:00+00:00,10.2,10.2,8.9,9.3,282
2026-04-23 13:47:00+00:00,9.22,9.5,8.66,8.8,223
2026-04-23 13:48:00+00:00,8.8,9.0,7.9,8.8,430
2026-04-23 13:49:00+00:00,8.9,9.55,8.6,8.9,297
2026-04-23 13:50:00+00:00,8.8,12.0,8.8,10.9,424
2026-04-23 13:51:00+00:00,10.8,10.9,9.3,9.5,257
2026-04-23 13:52:00+00:00,9.3,9.3,8.7,9.0,252
2026-04-23 13:53:00+00:00,9.06,9.87,8.88,9.2,306
2026-04-23 13:54:00+00:00,9.15,10.1,9.14,9.5,191
2026-04-23 13:55:00+00:00,9.5,10.6,9.5,10.6,307
2026-04-23 13:56:00+00:00,10.3,10.7,9.8,10.3,147
2026-04-23 13:57:00+00:00,10.4,10.4,9.63,10.3,332
2026-04-23 13:58:00+00:00,10.4,11.0,10.3,10.4,378
2026-04-23 13:59:00+00:00,10.3,10.9,10.2,10.8,188
2026-04-23 14:00:00+00:00,10.96,14.4,10.96,14.1,1109
2026-04-23 14:01:00+00:00,14.1,15.6,13.3,13.8,880
2026-04-23 14:02:00+00:00,13.9,16.8,12.3,12.3,627
2026-04-23 14:03:00+00:00,12.35,13.0,11.0,11.4,432
2026-04-23 14:04:00+00:00,11.5,11.9,10.25,11.52,368
2026-04-23 14:05:00+00:00,12.02,12.2,10.28,10.65,402
2026-04-23 14:06:00+00:00,10.62,12.8,10.62,12.4,372
2026-04-23 14:07:00+00:00,12.35,13.4,11.5,11.6,529
2026-04-23 14:08:00+00:00,11.7,12.0,10.2,10.6,281
2026-04-23 14:09:00+00:00,10.6,10.6,9.8,10.03,204
2026-04-23 14:10:00+00:00,9.98,11.5,9.9,10.5,295
2026-04-23 14:11:00+00:00,10.5,11.4,10.25,10.4,214
2026-04-23 14:12:00+00:00,10.4,11.25,10.3,10.3,202
2026-04-23 14:13:00+00:00,10.3,11.2,9.8,10.82,150
2026-04-23 14:14:00+00:00,10.7,11.3,10.45,10.6,312
2026-04-23 14:15:00+00:00,10.6,10.6,8.6,9.1,340
2026-04-23 14:16:00+00:00,9.1,9.3,8.38,9.0,345
2026-04-23 14:17:00+00:00,8.9,9.1,8.2,8.6,270
2026-04-23 14:18:00+00:00,8.5,9.7,8.3,9.6,189
2026-04-23 14:19:00+00:00,9.44,10.6,9.42,10.01,367
2026-04-23 14:20:00+00:00,10.0,10.1,8.73,8.9,143
2026-04-23 14:21:00+00:00,8.9,9.9,8.66,8.8,143
2026-04-23 14:22:00+00:00,8.9,9.6,8.6,9.0,185
2026-04-23 14:23:00+00:00,9.0,9.0,7.9,7.9,123
2026-04-23 14:24:00+00:00,8.1,8.3,7.1,7.5,608
2026-04-23 14:25:00+00:00,7.5,7.8,7.0,7.4,209
2026-04-23 14:26:00+00:00,7.6,7.7,7.3,7.5,160
2026-04-23 14:27:00+00:00,7.35,8.0,7.05,8.0,148
2026-04-23 14:28:00+00:00,8.1,9.3,8.1,8.4,284
2026-04-23 14:29:00+00:00,8.3,9.0,8.2,8.3,914
2026-04-23 14:30:00+00:00,8.2,8.2,7.2,7.4,487
2026-04-23 14:31:00+00:00,7.4,7.5,6.6,7.1,556
2026-04-23 14:32:00+00:00,7.09,7.2,6.17,6.7,275
2026-04-23 14:33:00+00:00,6.7,6.9,6.4,6.9,321
2026-04-23 14:34:00+00:00,6.95,7.3,6.5,7.2,361
2026-04-23 14:35:00+00:00,7.2,7.5,6.9,7.3,644
2026-04-23 14:36:00+00:00,7.4,7.5,6.7,6.9,300
2026-04-23 14:37:00+00:00,6.8,7.15,6.4,6.6,201
2026-04-23 14:38:00+00:00,6.5,8.3,6.3,8.0,400
2026-04-23 14:39:00+00:00,8.0,8.5,7.2,7.3,534
2026-04-23 14:40:00+00:00,7.3,7.5,6.88,7.3,170
2026-04-23 14:41:00+00:00,7.3,7.6,6.9,7.52,216
2026-04-23 14:42:00+00:00,7.6,8.0,7.1,7.3,220
2026-04-23 14:43:00+00:00,7.2,7.62,6.4,6.4,271
2026-04-23 14:44:00+00:00,6.46,6.6,6.2,6.4,218
2026-04-23 14:45:00+00:00,6.3,6.3,5.6,5.7,405
2026-04-23 14:46:00+00:00,5.7,6.1,5.6,6.0,241
2026-04-23 14:47:00+00:00,6.0,6.3,5.69,5.7,349
2026-04-23 14:48:00+00:00,5.7,6.0,5.35,5.7,252
2026-04-23 14:49:00+00:00,5.65,5.65,5.3,5.6,210
2026-04-23 14:50:00+00:00,5.75,5.9,5.5,5.5,228
2026-04-23 14:51:00+00:00,5.5,5.65,5.4,5.5,220
2026-04-23 14:52:00+00:00,5.62,5.65,4.7,4.8,512
2026-04-23 14:53:00+00:00,4.8,4.81,4.5,4.6,406
2026-04-23 14:54:00+00:00,4.7,5.1,4.45,4.5,430
2026-04-23 14:55:00+00:00,4.4,4.43,3.7,3.8,1640
2026-04-23 14:56:00+00:00,3.9,4.1,3.7,3.8,886
2026-04-23 14:57:00+00:00,3.8,3.8,3.3,3.3,603
2026-04-23 14:58:00+00:00,3.4,3.8,3.3,3.6,541
2026-04-23 14:59:00+00:00,3.6,3.9,3.6,3.8,299
2026-04-23 15:00:00+00:00,3.8,3.8,3.35,3.51,383
2026-04-23 15:01:00+00:00,3.45,3.7,3.32,3.55,200
2026-04-23 15:02:00+00:00,3.59,3.7,3.33,3.55,190
2026-04-23 15:03:00+00:00,3.5,3.8,3.4,3.63,99
2026-04-23 15:04:00+00:00,3.7,3.9,3.65,3.8,171
2026-04-23 15:05:00+00:00,3.8,3.9,3.6,3.8,392
2026-04-23 15:06:00+00:00,3.8,4.0,3.7,3.9,215
2026-04-23 15:07:00+00:00,3.9,4.1,3.75,3.9,302
2026-04-23 15:08:00+00:00,4.0,4.3,3.9,4.1,310
2026-04-23 15:09:00+00:00,4.1,4.2,3.7,3.8,194
2026-04-23 15:10:00+00:00,3.7,3.7,3.2,3.3,352
2026-04-23 15:11:00+00:00,3.4,3.4,3.1,3.3,267
2026-04-23 15:12:00+00:00,3.2,3.52,3.2,3.4,150
2026-04-23 15:13:00+00:00,3.4,3.45,3.2,3.45,62
2026-04-23 15:14:00+00:00,3.4,3.68,3.29,3.68,149
2026-04-23 15:15:00+00:00,3.6,3.9,3.6,3.6,233
2026-04-23 15:16:00+00:00,3.7,3.75,3.3,3.3,141
2026-04-23 15:17:00+00:00,3.2,3.3,2.8,2.9,338
2026-04-23 15:18:00+00:00,2.9,2.95,2.65,2.75,359
2026-04-23 15:19:00+00:00,2.75,2.85,2.7,2.85,192
2026-04-23 15:20:00+00:00,2.82,3.0,2.65,2.97,331
2026-04-23 15:21:00+00:00,3.0,3.0,2.85,2.97,112
2026-04-23 15:22:00+00:00,2.93,3.1,2.8,2.95,128
2026-04-23 15:23:00+00:00,2.95,3.0,2.7,2.75,108
2026-04-23 15:24:00+00:00,2.7,2.8,2.7,2.7,91
2026-04-23 15:25:00+00:00,2.75,2.85,2.65,2.65,172
2026-04-23 15:26:00+00:00,2.65,2.7,2.55,2.7,306
2026-04-23 15:27:00+00:00,2.7,2.75,2.52,2.52,238
2026-04-23 15:28:00+00:00,2.57,2.75,2.57,2.72,158
2026-04-23 15:29:00+00:00,2.7,2.87,2.6,2.8,286
2026-04-23 15:30:00+00:00,2.82,3.12,2.65,2.75,406
2026-04-23 15:31:00+00:00,2.71,2.82,2.4,2.4,305
2026-04-23 15:32:00+00:00,2.4,2.45,2.05,2.15,414
2026-04-23 15:33:00+00:00,2.12,2.2,2.05,2.15,221
