ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-15 13:30:00+00:00,69,35.9238,37.6,34.8,38.1,33.7,1778851800000,18
2026-05-15 13:32:00+00:00,24,30.2563,30.4,28.1,31.85,28.1,1778851920000,16
2026-05-15 13:33:00+00:00,54,25.0787,28.0,24.25,28.0,24.19,1778851980000,40
2026-05-15 13:34:00+00:00,240,26.4299,24.3,27.22,27.35,23.7,1778852040000,65
2026-05-15 13:35:00+00:00,53,26.2196,28.1,25.2,28.1,25.11,1778852100000,39
2026-05-15 13:36:00+00:00,53,25.4296,25.0,24.7,27.5,24.2,1778852160000,37
2026-05-15 13:37:00+00:00,199,23.2448,24.4,23.0,24.7,22.54,1778852220000,89
2026-05-15 13:38:00+00:00,141,22.7604,22.8,22.5,23.5,22.25,1778852280000,75
2026-05-15 13:39:00+00:00,115,22.8378,22.3,22.3,24.0,22.28,1778852340000,62
2026-05-15 13:40:00+00:00,211,24.6506,22.0,27.0,27.0,21.85,1778852400000,101
2026-05-15 13:41:00+00:00,87,24.3978,26.3,24.2,26.4,22.7,1778852460000,48
2026-05-15 13:42:00+00:00,56,22.7566,24.9,22.13,24.9,21.9,1778852520000,34
2026-05-15 13:43:00+00:00,153,21.8957,22.2,21.2,22.9,20.8,1778852580000,73
2026-05-15 13:44:00+00:00,231,20.1338,21.3,19.6,21.64,19.1,1778852640000,98
2026-05-15 13:45:00+00:00,533,18.9808,19.3,18.3,19.82,17.9,1778852700000,162
2026-05-15 13:47:00+00:00,226,18.0965,17.5,19.7,19.7,16.8,1778852820000,110
2026-05-15 13:48:00+00:00,523,21.4562,19.5,22.7,23.1,19.3,1778852880000,209
2026-05-15 13:49:00+00:00,582,22.4246,22.5,24.3,24.5,21.4,1778852940000,163
2026-05-15 13:50:00+00:00,162,23.9085,24.4,22.8,25.6,22.0,1778853000000,92
2026-05-15 13:52:00+00:00,89,23.0978,20.8,24.4,24.6,20.8,1778853120000,59
2026-05-15 13:53:00+00:00,100,25.4018,24.9,25.4,26.3,24.7,1778853180000,53
2026-05-15 13:54:00+00:00,148,27.6291,26.0,28.0,29.6,25.7,1778853240000,78
2026-05-15 13:55:00+00:00,112,28.9358,28.3,29.82,29.82,27.6,1778853300000,57
2026-05-15 13:56:00+00:00,74,29.7024,29.5,28.8,31.0,28.1,1778853360000,49
2026-05-15 13:57:00+00:00,82,26.6641,28.1,24.6,28.1,24.6,1778853420000,43
2026-05-15 13:58:00+00:00,80,22.5834,24.37,21.7,24.37,21.12,1778853480000,47
2026-05-15 13:59:00+00:00,69,21.4671,21.5,21.0,22.1,20.6,1778853540000,49
2026-05-15 14:00:00+00:00,108,21.0621,21.3,21.6,22.3,20.4,1778853600000,61
2026-05-15 14:01:00+00:00,235,22.0963,22.1,22.7,23.5,21.48,1778853660000,89
2026-05-15 14:02:00+00:00,119,24.2545,23.5,24.9,25.35,23.5,1778853720000,70
2026-05-15 14:03:00+00:00,99,22.4108,25.0,22.02,25.0,21.3,1778853780000,49
2026-05-15 14:04:00+00:00,82,21.6743,21.8,22.1,23.76,20.4,1778853840000,45
2026-05-15 14:05:00+00:00,100,22.1512,22.1,22.5,23.4,20.8,1778853900000,52
2026-05-15 14:06:00+00:00,85,21.9051,22.6,22.0,22.8,21.55,1778853960000,40
2026-05-15 14:07:00+00:00,167,22.1934,22.1,22.3,22.4,21.5,1778854020000,52
