ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-21 13:30:00+00:00,174,8.5645,8.32,9.15,9.2,7.61,1779370200000,55
2026-05-21 13:32:00+00:00,172,9.3328,9.9,9.2,10.0,8.7,1779370320000,106
2026-05-21 13:33:00+00:00,339,9.5065,9.2,9.3,9.8,9.0,1779370380000,78
2026-05-21 13:34:00+00:00,250,8.3268,9.2,7.75,9.2,7.75,1779370440000,90
2026-05-21 13:35:00+00:00,173,8.0529,8.0,8.3,8.6,7.3,1779370500000,101
2026-05-21 13:37:00+00:00,65,8.2989,8.3,7.9,9.0,7.8,1779370620000,41
2026-05-21 13:38:00+00:00,64,7.9802,7.95,8.6,8.9,7.5,1779370680000,37
2026-05-21 13:39:00+00:00,109,8.531,8.4,8.7,9.32,8.0,1779370740000,44
2026-05-21 13:40:00+00:00,107,8.3906,9.2,7.8,9.4,7.7,1779370800000,60
2026-05-21 13:41:00+00:00,110,7.8945,7.7,8.0,8.2,7.6,1779370860000,48
2026-05-21 13:42:00+00:00,49,8.4098,8.0,8.5,8.8,7.9,1779370920000,27
2026-05-21 13:43:00+00:00,162,8.7589,8.5,9.1,9.14,7.9,1779370980000,40
2026-05-21 13:44:00+00:00,89,8.8676,9.1,8.77,9.3,8.6,1779371040000,44
2026-05-21 13:45:00+00:00,112,8.0163,8.5,8.1,8.6,7.5,1779371100000,50
2026-05-21 13:46:00+00:00,235,7.5392,7.75,7.15,7.88,7.1,1779371160000,72
2026-05-21 13:47:00+00:00,320,8.0946,7.25,8.4,8.7,7.2,1779371220000,96
2026-05-21 13:48:00+00:00,195,9.0936,8.7,8.5,9.5,8.5,1779371280000,83
2026-05-21 13:49:00+00:00,78,8.7037,8.5,9.2,9.3,8.15,1779371340000,49
2026-05-21 13:50:00+00:00,166,8.3833,9.3,7.8,9.3,7.7,1779371400000,74
2026-05-21 13:51:00+00:00,90,8.2129,7.8,8.8,8.8,7.6,1779371460000,33
2026-05-21 13:52:00+00:00,473,6.5892,7.8,6.5,7.8,6.19,1779371520000,148
2026-05-21 13:54:00+00:00,214,5.6253,5.9,5.0,6.25,5.0,1779371640000,85
2026-05-21 13:55:00+00:00,226,4.5916,5.1,4.8,5.1,4.2,1779371700000,97
2026-05-21 13:56:00+00:00,151,5.0448,4.7,5.05,5.4,4.7,1779371760000,72
2026-05-21 13:57:00+00:00,123,5.0426,5.1,5.1,5.27,4.8,1779371820000,49
2026-05-21 13:58:00+00:00,152,5.1317,5.1,4.9,5.45,4.67,1779371880000,46
2026-05-21 14:00:00+00:00,183,4.2699,4.42,4.2,4.51,4.1,1779372000000,76
2026-05-21 14:01:00+00:00,279,3.8939,4.15,3.7,4.21,3.6,1779372060000,132
2026-05-21 14:02:00+00:00,279,3.3668,3.75,3.4,3.75,3.17,1779372120000,89
2026-05-21 14:03:00+00:00,111,3.4912,3.45,3.5,3.6,3.4,1779372180000,52
