ts,Volume,vw,Open,Close,High,Low,t,n
2026-03-27 08:00:00+00:00,4288.0,647.5795,647.69,647.61,647.69,647.4,1774598400000.0,70.0
2026-03-27 08:01:00+00:00,8588.0,647.7612,647.61,647.47,648.12,647.47,1774598460000.0,113.0
2026-03-27 08:02:00+00:00,3791.0,647.2798,647.36,647.23,647.36,647.2,1774598520000.0,53.0
2026-03-27 08:03:00+00:00,2928.0,647.1767,647.0,647.49,647.49,646.88,1774598580000.0,82.0
2026-03-27 08:04:00+00:00,1038.0,647.4528,647.34,647.27,647.49,647.27,1774598640000.0,19.0
2026-03-27 08:05:00+00:00,1895.0,647.0323,647.13,646.74,647.14,646.74,1774598700000.0,37.0
2026-03-27 08:06:00+00:00,1420.0,647.0653,646.93,647.1,647.17,646.93,1774598760000.0,27.0
2026-03-27 08:07:00+00:00,498.0,646.9487,647.07,646.76,647.07,646.75,1774598820000.0,17.0
2026-03-27 08:08:00+00:00,2961.0,646.673,646.88,646.67,646.88,646.62,1774598880000.0,68.0
2026-03-27 08:09:00+00:00,773.0,646.5491,646.65,646.67,646.67,646.5,1774598940000.0,29.0
2026-03-27 08:10:00+00:00,690.0,646.6846,646.71,646.64,646.78,646.64,1774599000000.0,20.0
2026-03-27 08:11:00+00:00,392.0,646.7391,646.6,646.87,646.87,646.6,1774599060000.0,11.0
2026-03-27 08:12:00+00:00,984.0,646.8114,646.85,646.68,646.85,646.68,1774599120000.0,11.0
2026-03-27 08:13:00+00:00,1697.0,646.9679,647.0,646.91,647.06,646.86,1774599180000.0,29.0
2026-03-27 08:14:00+00:00,1334.0,646.7959,646.89,646.75,646.9,646.75,1774599240000.0,28.0
2026-03-27 08:15:00+00:00,1539.0,646.8861,646.76,647.01,647.01,646.75,1774599300000.0,45.0
2026-03-27 08:16:00+00:00,407.0,646.8669,646.97,646.97,646.97,646.97,1774599360000.0,16.0
2026-03-27 08:17:00+00:00,2629.0,646.3615,646.79,646.29,646.79,646.29,1774599420000.0,59.0
2026-03-27 08:18:00+00:00,564.0,646.2932,646.25,646.3,646.43,646.2,1774599480000.0,21.0
2026-03-27 08:19:00+00:00,4741.0,646.2609,646.26,646.2,646.37,646.19,1774599540000.0,49.0
2026-03-27 08:20:00+00:00,1408.0,646.1659,646.24,646.1,646.24,646.1,1774599600000.0,21.0
2026-03-27 08:21:00+00:00,6391.0,646.505,646.14,646.72,646.72,646.14,1774599660000.0,84.0
2026-03-27 08:22:00+00:00,290.0,646.3782,646.4,646.39,646.4,646.39,1774599720000.0,10.0
2026-03-27 08:23:00+00:00,288.0,646.3489,646.35,646.35,646.35,646.35,1774599780000.0,6.0
2026-03-27 08:24:00+00:00,1955.0,646.216,646.22,646.19,646.26,646.18,1774599840000.0,38.0
2026-03-27 08:25:00+00:00,1303.0,646.1044,646.08,646.09,646.09,646.08,1774599900000.0,26.0
2026-03-27 08:26:00+00:00,151.0,646.0764,646.06,646.06,646.06,646.06,1774599960000.0,10.0
2026-03-27 08:27:00+00:00,649.0,646.0144,646.0,646.08,646.08,646.0,1774600020000.0,39.0
2026-03-27 08:28:00+00:00,4697.0,645.8263,645.85,645.84,645.85,645.78,1774600080000.0,80.0
2026-03-27 08:29:00+00:00,686.0,645.8483,645.84,645.91,645.91,645.83,1774600140000.0,18.0
2026-03-27 08:30:00+00:00,652.0,646.0936,645.96,646.18,646.18,645.96,1774600200000.0,20.0
2026-03-27 08:31:00+00:00,443.0,646.0775,646.02,645.99,646.23,645.99,1774600260000.0,13.0
2026-03-27 08:32:00+00:00,119.0,646.1198,646.1,646.1,646.1,646.1,1774600320000.0,4.0
2026-03-27 08:33:00+00:00,609.0,646.3191,646.32,646.32,646.32,646.3,1774600380000.0,20.0
2026-03-27 08:34:00+00:00,102.0,646.241,646.24,646.24,646.24,646.24,1774600440000.0,2.0
2026-03-27 08:35:00+00:00,2286.0,646.022,646.16,645.81,646.22,645.77,1774600500000.0,33.0
2026-03-27 08:36:00+00:00,4102.0,645.5486,645.79,645.66,645.79,645.45,1774600560000.0,68.0
2026-03-27 08:37:00+00:00,249.0,645.7092,645.7,645.7,645.7,645.7,1774600620000.0,8.0
2026-03-27 08:38:00+00:00,9485.0,645.7313,645.66,645.7,645.89,645.66,1774600680000.0,44.0
2026-03-27 08:39:00+00:00,5075.0,645.5284,645.72,645.46,645.72,645.44,1774600740000.0,44.0
2026-03-27 08:40:00+00:00,17953.0,645.4538,645.46,645.4,645.49,645.36,1774600800000.0,90.0
2026-03-27 08:41:00+00:00,2847.0,645.6197,645.46,645.63,645.67,645.46,1774600860000.0,37.0
2026-03-27 08:42:00+00:00,8370.0,645.6488,645.72,645.72,645.76,645.54,1774600920000.0,55.0
2026-03-27 08:43:00+00:00,1629.0,645.597,645.74,645.57,645.74,645.57,1774600980000.0,23.0
2026-03-27 08:44:00+00:00,2439.0,645.5671,645.58,645.77,645.77,645.47,1774601040000.0,44.0
2026-03-27 08:45:00+00:00,1505.0,645.9031,645.88,645.91,645.91,645.88,1774601100000.0,27.0
2026-03-27 08:46:00+00:00,351.0,645.6795,645.69,645.61,645.69,645.61,1774601160000.0,14.0
2026-03-27 08:47:00+00:00,771.0,645.6384,645.59,645.69,645.69,645.59,1774601220000.0,15.0
2026-03-27 08:48:00+00:00,4461.0,645.5159,645.6,645.5,645.6,645.5,1774601280000.0,63.0
2026-03-27 08:49:00+00:00,411.0,645.6882,645.72,645.61,645.75,645.61,1774601340000.0,9.0
2026-03-27 08:50:00+00:00,170.0,645.8691,645.94,645.94,645.94,645.94,1774601400000.0,16.0
2026-03-27 08:51:00+00:00,106.0,645.8507,645.92,645.81,645.92,645.81,1774601460000.0,5.0
2026-03-27 08:52:00+00:00,603.0,645.5362,645.6,645.4,645.61,645.4,1774601520000.0,18.0
2026-03-27 08:53:00+00:00,1253.0,645.2661,645.3,645.23,645.3,645.23,1774601580000.0,25.0
2026-03-27 08:54:00+00:00,327.0,645.355,645.39,645.27,645.4,645.27,1774601640000.0,23.0
2026-03-27 08:55:00+00:00,1255.0,645.3436,645.43,645.26,645.47,645.26,1774601700000.0,30.0
2026-03-27 08:56:00+00:00,3179.0,645.3408,645.31,645.35,645.36,645.31,1774601760000.0,39.0
2026-03-27 08:57:00+00:00,1149.0,645.3548,645.31,645.47,645.49,645.29,1774601820000.0,10.0
2026-03-27 08:58:00+00:00,151.0,645.4168,645.4,645.4,645.4,645.4,1774601880000.0,4.0
2026-03-27 08:59:00+00:00,417.0,645.4066,645.33,645.41,645.41,645.33,1774601940000.0,13.0
2026-03-27 09:00:00+00:00,13336.0,645.3803,645.38,645.38,645.45,645.33,1774602000000.0,68.0
2026-03-27 09:01:00+00:00,8399.0,645.3393,645.38,645.08,645.52,645.08,1774602060000.0,106.0
2026-03-27 09:02:00+00:00,3200.0,645.1726,645.08,645.34,645.41,645.07,1774602120000.0,30.0
2026-03-27 09:03:00+00:00,2482.0,645.3819,645.31,645.37,645.4,645.27,1774602180000.0,27.0
2026-03-27 09:04:00+00:00,15077.0,644.7912,645.2,644.76,645.2,644.7,1774602240000.0,258.0
2026-03-27 09:05:00+00:00,10574.0,644.8021,644.8,644.65,644.9,644.53,1774602300000.0,159.0
2026-03-27 09:06:00+00:00,4407.0,644.4213,644.7,644.34,644.7,644.29,1774602360000.0,78.0
2026-03-27 09:07:00+00:00,4652.0,644.399,644.29,644.38,644.45,644.29,1774602420000.0,33.0
2026-03-27 09:08:00+00:00,2822.0,644.4338,644.51,644.22,644.51,644.2,1774602480000.0,49.0
2026-03-27 09:09:00+00:00,6664.0,644.229,644.24,644.21,644.31,644.11,1774602540000.0,76.0
2026-03-27 09:10:00+00:00,14071.0,644.141,644.14,644.0,644.26,643.98,1774602600000.0,222.0
2026-03-27 09:11:00+00:00,2567.0,644.0085,643.98,643.93,644.09,643.9,1774602660000.0,36.0
2026-03-27 09:12:00+00:00,2325.0,644.634,644.5,644.69,644.76,644.5,1774602720000.0,37.0
2026-03-27 09:13:00+00:00,2657.0,644.8081,644.58,644.81,644.96,644.58,1774602780000.0,40.0
2026-03-27 09:14:00+00:00,2400.0,644.7534,644.83,644.64,644.9,644.62,1774602840000.0,35.0
2026-03-27 09:15:00+00:00,2997.0,644.7389,644.55,644.9,644.93,644.55,1774602900000.0,45.0
2026-03-27 09:16:00+00:00,1878.0,644.8158,644.81,644.88,644.88,644.77,1774602960000.0,23.0
2026-03-27 09:17:00+00:00,206.0,644.8415,644.87,644.75,644.87,644.75,1774603020000.0,10.0
2026-03-27 09:18:00+00:00,2099.0,644.836,644.79,644.99,644.99,644.7,1774603080000.0,31.0
2026-03-27 09:19:00+00:00,3313.0,645.152,645.0,645.29,645.39,645.0,1774603140000.0,52.0
2026-03-27 09:20:00+00:00,4210.0,645.2047,645.24,645.18,645.29,645.17,1774603200000.0,50.0
2026-03-27 09:21:00+00:00,8097.0,645.256,645.19,645.21,645.42,645.18,1774603260000.0,71.0
2026-03-27 09:22:00+00:00,5159.0,645.1706,645.18,645.22,645.23,645.07,1774603320000.0,48.0
2026-03-27 09:23:00+00:00,3146.0,644.9038,645.1,644.84,645.1,644.83,1774603380000.0,32.0
2026-03-27 09:24:00+00:00,2652.0,645.0127,644.89,645.11,645.14,644.89,1774603440000.0,18.0
2026-03-27 09:25:00+00:00,1573.0,645.3556,645.31,645.49,645.49,645.31,1774603500000.0,18.0
2026-03-27 09:26:00+00:00,4757.0,645.5693,645.44,645.79,645.79,645.44,1774603560000.0,39.0
2026-03-27 09:27:00+00:00,6316.0,645.8079,645.83,645.78,645.85,645.71,1774603620000.0,57.0
2026-03-27 09:28:00+00:00,2941.0,645.6162,645.69,645.55,645.72,645.5,1774603680000.0,16.0
2026-03-27 09:29:00+00:00,4660.0,645.6408,645.58,645.67,645.75,645.58,1774603740000.0,36.0
2026-03-27 09:30:00+00:00,4022.0,645.5628,645.6,645.46,645.63,645.45,1774603800000.0,37.0
2026-03-27 09:31:00+00:00,5450.0,645.5305,645.49,645.63,645.66,645.46,1774603860000.0,40.0
2026-03-27 09:32:00+00:00,4361.0,645.9448,645.64,646.12,646.16,645.64,1774603920000.0,50.0
2026-03-27 09:33:00+00:00,2645.0,646.025,645.98,646.02,646.05,645.98,1774603980000.0,36.0
2026-03-27 09:34:00+00:00,2081.0,645.9018,645.95,645.87,645.95,645.87,1774604040000.0,14.0
2026-03-27 09:35:00+00:00,4663.0,645.7336,645.9,645.57,645.93,645.57,1774604100000.0,62.0
2026-03-27 09:36:00+00:00,5451.0,645.6751,645.63,645.62,645.74,645.57,1774604160000.0,58.0
2026-03-27 09:37:00+00:00,8488.0,645.4753,645.62,645.49,645.68,645.37,1774604220000.0,109.0
2026-03-27 09:38:00+00:00,721.0,645.5861,645.57,645.65,645.65,645.57,1774604280000.0,10.0
2026-03-27 09:39:00+00:00,505.0,645.5245,645.52,645.49,645.52,645.49,1774604340000.0,8.0
2026-03-27 09:40:00+00:00,1567.0,645.4121,645.43,645.35,645.47,645.35,1774604400000.0,11.0
2026-03-27 09:41:00+00:00,301.0,645.358,645.34,645.35,645.35,645.34,1774604460000.0,9.0
2026-03-27 09:42:00+00:00,442.0,645.4973,645.5,645.43,645.52,645.43,1774604520000.0,5.0
2026-03-27 09:43:00+00:00,11284.0,645.4922,645.45,645.5,645.53,645.39,1774604580000.0,69.0
2026-03-27 09:44:00+00:00,1120.0,645.5673,645.54,645.62,645.63,645.53,1774604640000.0,26.0
2026-03-27 09:45:00+00:00,3945.0,645.2083,645.54,645.19,645.57,645.07,1774604700000.0,48.0
2026-03-27 09:46:00+00:00,738.0,645.1093,645.14,645.1,645.14,645.03,1774604760000.0,19.0
2026-03-27 09:47:00+00:00,2875.0,645.0239,645.11,645.0,645.11,644.98,1774604820000.0,31.0
2026-03-27 09:48:00+00:00,1205.0,644.8718,644.93,644.74,644.99,644.74,1774604880000.0,19.0
2026-03-27 09:49:00+00:00,2195.0,644.7394,644.8,644.67,644.8,644.66,1774604940000.0,39.0
2026-03-27 09:50:00+00:00,1769.0,644.8463,644.82,644.94,644.94,644.74,1774605000000.0,19.0
2026-03-27 09:51:00+00:00,2103.0,644.8999,644.94,644.8,644.97,644.8,1774605060000.0,23.0
2026-03-27 09:52:00+00:00,390.0,644.8115,644.82,644.8,644.82,644.8,1774605120000.0,7.0
2026-03-27 09:53:00+00:00,3522.0,644.726,644.79,644.68,644.83,644.66,1774605180000.0,38.0
2026-03-27 09:54:00+00:00,2885.0,644.705,644.73,644.72,644.73,644.68,1774605240000.0,30.0
2026-03-27 09:55:00+00:00,7141.0,644.7048,644.71,644.68,644.77,644.6,1774605300000.0,71.0
2026-03-27 09:57:00+00:00,1683.0,644.8227,644.83,644.75,644.84,644.75,1774605420000.0,25.0
2026-03-27 09:58:00+00:00,1810.0,644.755,644.75,644.74,644.8,644.74,1774605480000.0,20.0
2026-03-27 09:59:00+00:00,5084.0,644.4728,644.65,644.52,644.65,644.33,1774605540000.0,57.0
2026-03-27 10:00:00+00:00,9259.0,644.4134,644.35,644.41,644.52,644.25,1774605600000.0,93.0
2026-03-27 10:01:00+00:00,3181.0,644.315,644.36,644.43,644.43,644.25,1774605660000.0,45.0
2026-03-27 10:02:00+00:00,1781.0,644.4033,644.39,644.7,644.7,644.24,1774605720000.0,29.0
2026-03-27 10:03:00+00:00,2416.0,644.6172,644.69,644.71,644.74,644.51,1774605780000.0,28.0
2026-03-27 10:04:00+00:00,2022.0,644.5507,644.59,644.47,644.59,644.47,1774605840000.0,26.0
2026-03-27 10:05:00+00:00,387.0,644.6371,644.66,644.62,644.66,644.61,1774605900000.0,16.0
2026-03-27 10:06:00+00:00,10484.0,644.7725,644.76,644.69,644.83,644.69,1774605960000.0,127.0
2026-03-27 10:07:00+00:00,1493.0,645.0033,644.95,645.06,645.06,644.95,1774606020000.0,24.0
2026-03-27 10:08:00+00:00,10049.0,645.104,645.0,645.09,645.22,645.0,1774606080000.0,107.0
2026-03-27 10:09:00+00:00,1909.0,644.8144,645.02,644.72,645.05,644.71,1774606140000.0,18.0
2026-03-27 10:10:00+00:00,1055.0,644.7336,644.77,644.72,644.78,644.67,1774606200000.0,16.0
2026-03-27 10:11:00+00:00,5235.0,644.5849,644.73,644.6,644.74,644.5,1774606260000.0,70.0
2026-03-27 10:12:00+00:00,1679.0,644.6047,644.58,644.55,644.62,644.55,1774606320000.0,17.0
2026-03-27 10:13:00+00:00,3827.0,644.5577,644.64,644.37,644.67,644.37,1774606380000.0,40.0
2026-03-27 10:14:00+00:00,2313.0,644.4299,644.42,644.39,644.45,644.39,1774606440000.0,20.0
2026-03-27 10:15:00+00:00,273.0,644.4086,644.37,644.44,644.44,644.37,1774606500000.0,9.0
