instrument,action,quantity,open_date,close_date,cost_per_share,total_cost,price_per_share,proceeds,gain,timestamp,timestamp_match_status
SPY Jan 05 '26 $689 Call,Sell To Close,1,2026-01-05,2026-01-05,.42,41.66,.60,60.34,18.68,,no_match
SPY Jan 06 '26 $690 Call,Sell To Close,1,2026-01-06,2026-01-06,.33,32.66,.21,21.34,-11.32,,no_match
SPY Jan 08 '26 $690 Call,Sell To Close,1,2026-01-08,2026-01-08,.50,49.66,.77,77.34,27.68,,no_match
SPY Jan 09 '26 $692 Put w,Sell To Close,1,2026-01-09,2026-01-09,.63,62.66,.97,97.34,34.68,,no_match
SPY Jan 09 '26 $692 Put w,Sell To Close,1,2026-01-09,2026-01-09,.27,26.66,.12,12.34,-14.32,,no_match
SPY Jan 12 '26 $693 Put,Sell To Close,1,2026-01-12,2026-01-12,.75,74.66,.86,86.34,11.68,,no_match
SPY Jan 12 '26 $694 Put,Sell To Close,1,2026-01-12,2026-01-12,.38,37.66,.13,13.34,-24.32,,no_match
SPY Jan 12 '26 $694 Put,Sell To Close,1,2026-01-12,2026-01-12,.30,29.66,.02,2.34,-27.32,,no_match
SPY Jan 14 '26 $689 Call,Sell To Close,1,2026-01-14,2026-01-14,.28,27.66,.31,31.34,3.68,,no_match
SPY Jan 14 '26 $690 Call,Sell To Close,1,2026-01-14,2026-01-14,.64,63.66,.73,73.34,9.68,,no_match
SPY Jan 15 '26 $694 Call,Sell To Close,1,2026-01-15,2026-01-15,.92,91.66,1.19,119.34,27.68,,no_match
SPY Jan 15 '26 $695 Call,Sell To Close,1,2026-01-15,2026-01-15,.29,28.66,.35,35.34,6.68,,no_match
SPY Jan 20 '26 $683 Call,Sell To Close,1,2026-01-20,2026-01-20,1.02,101.51,.78,78.49,-23.02,,no_match
SPY Jan 21 '26 $681 Put,Sell To Close,1,2026-01-21,2026-01-21,1.02,101.51,.75,75.49,-26.02,,no_match
SPY Jan 26 '26 $688 Call,Sell To Close,1,2026-01-21,2026-01-21,1.26,125.51,2.60,260.49,134.98,,no_match
SPY Jan 26 '26 $694 Call,Sell To Close,1,2026-01-26,2026-01-26,.42,41.51,.32,32.49,-9.02,,no_match
SPY Feb 02 '26 $690 Put,Sell To Close,1,2026-02-02,2026-02-02,.58,57.51,.79,79.49,21.98,,no_match
SPY Feb 02 '26 $695 Put,Sell To Close,1,2026-02-02,2026-02-02,.39,38.51,.39,39.49,.98,,no_match
SPY Feb 03 '26 $693 Call,Sell To Close,1,2026-02-03,2026-02-03,.54,53.51,.33,33.49,-20.02,,no_match
SPY Feb 05 '26 $679 Call,Sell To Close,1,2026-02-05,2026-02-05,1.45,144.51,1.56,156.49,11.98,,no_match
SPY Feb 05 '26 $681 Call,Sell To Close,1,2026-02-05,2026-02-05,.96,95.51,1.09,109.49,13.98,,no_match
SPY Feb 05 '26 $682 Call,Sell To Close,1,2026-02-05,2026-02-05,1.15,114.51,1.07,107.49,-7.02,,no_match
SPY Feb 05 '26 $682 Call,Sell To Close,1,2026-02-05,2026-02-05,.35,34.51,.32,32.49,-2.02,,no_match
SPY Feb 05 '26 $675 Put,Sell To Close,1,2026-02-05,2026-02-05,1.34,133.51,1.04,104.49,-29.02,,no_match
SPY Feb 05 '26 $675 Put,Sell To Close,1,2026-02-05,2026-02-05,1.18,117.51,.37,37.49,-80.02,,no_match
SPY Feb 05 '26 $676 Put,Sell To Close,1,2026-02-05,2026-02-05,.69,68.51,.81,81.49,12.98,,no_match
SPY Feb 05 '26 $677 Put,Sell To Close,1,2026-02-05,2026-02-05,.82,81.51,.89,89.49,7.98,,no_match
SPY Feb 06 '26 $687 Call w,Sell To Close,1,2026-02-06,2026-02-06,1.45,144.51,1.38,138.49,-6.02,,no_match
SPY Feb 06 '26 $687 Call w,Sell To Close,1,2026-02-06,2026-02-06,1.48,147.51,1.58,158.49,10.98,,no_match
SPY Feb 06 '26 $684 Put w,Sell To Close,1,2026-02-06,2026-02-06,.96,95.51,1.08,108.49,12.98,,no_match
SPY Feb 06 '26 $684 Put w,Sell To Close,1,2026-02-06,2026-02-06,.79,78.51,.61,61.49,-17.02,,no_match
SPY Feb 06 '26 $687 Put w,Sell To Close,1,2026-02-06,2026-02-06,1.49,148.51,1.23,123.49,-25.02,,no_match
SPY Feb 06 '26 $687 Put w,Sell To Close,1,2026-02-06,2026-02-06,1.22,121.51,1.29,129.49,7.98,,no_match
SPY Feb 06 '26 $687 Put w,Sell To Close,2,2026-02-06,2026-02-06,1.04,207.03,.89,178.96,-28.07,,no_match
SPY Feb 09 '26 $693 Call,Sell To Close,1,2026-02-09,2026-02-09,1.43,142.51,1.59,159.49,16.98,,no_match
SPY Feb 09 '26 $694 Call,Sell To Close,1,2026-02-09,2026-02-09,1.04,103.51,1.14,114.49,10.98,,no_match
SPY Feb 09 '26 $694 Call,Sell To Close,2,2026-02-09,2026-02-09,1.19,237.03,1.24,248.96,11.93,,no_match
SPY Feb 09 '26 $694 Call,Sell To Close,1,2026-02-09,2026-02-09,.73,72.51,.75,75.49,2.98,,no_match
SPY Feb 09 '26 $692 Put,Sell To Close,1,2026-02-09,2026-02-09,1.03,102.51,1.29,129.49,26.98,,no_match
SPY Feb 09 '26 $695 Put,Sell To Close,1,2026-02-09,2026-02-09,1.36,135.51,1.44,144.49,8.98,,no_match
SPY Feb 10 '26 $695 Call,Sell To Close,1,2026-02-10,2026-02-10,1.41,140.51,1.49,149.49,8.98,,no_match
SPY Feb 10 '26 $695 Call,Sell To Close,2,2026-02-10,2026-02-10,1.24,247.03,1.49,298.96,51.93,,no_match
SPY Feb 10 '26 $694 Put,Sell To Close,1,2026-02-10,2026-02-10,1.51,150.51,1.64,164.49,13.98,,no_match
SPY Feb 10 '26 $694 Put,Sell To Close,1,2026-02-10,2026-02-10,1.43,142.51,.84,84.49,-58.02,,no_match
SPY Feb 10 '26 $696 Put,Sell To Close,2,2026-02-10,2026-02-10,1.47,293.03,1.79,358.96,65.93,,no_match
SPY Feb 11 '26 $691 Call,Sell To Close,1,2026-02-11,2026-02-11,1.61,160.51,2.09,209.49,48.98,,no_match
SPY Feb 11 '26 $693 Call,Sell To Close,1,2026-02-11,2026-02-11,.92,91.51,.98,98.49,6.98,,no_match
SPY Feb 11 '26 $693 Call,Sell To Close,1,2026-02-11,2026-02-11,.97,96.51,.99,99.48,2.97,,no_match
SPY Feb 11 '26 $693 Call,Sell To Close,1,2026-02-11,2026-02-11,.59,58.51,.99,99.48,40.97,,no_match
SPY Feb 11 '26 $694 Call,Sell To Close,1,2026-02-11,2026-02-11,.80,79.51,.74,74.49,-5.02,,no_match
SPY Feb 11 '26 $690 Put,Sell To Close,1,2026-02-11,2026-02-11,1.73,172.51,.70,70.49,-102.02,,no_match
SPY Feb 11 '26 $692 Put,Sell To Close,1,2026-02-11,2026-02-11,.74,73.51,.85,85.49,11.98,,no_match
SPY Feb 11 '26 $693 Put,Sell To Close,1,2026-02-11,2026-02-11,.98,97.51,1.18,118.49,20.98,,no_match
SPY Feb 12 '26 $693 Call,Sell To Close,1,2026-02-12,2026-02-12,1.43,142.51,1.69,169.49,26.98,,no_match
SPY Feb 12 '26 $693 Call,Options Expiration,1,2026-02-12,2026-02-12,.55,54.51,.00,0,-54.51,,no_match
