day,side,entry_time,entry,stop,target,exit_time,exit,result_r,reason
2025-12-01,LONG,2025-12-01 10:50:00-05:00,681.6500244140625,680.1300048828125,684.6900634765625,2025-12-01 11:15:00-05:00,680.1300048828125,-1.0,SL
2025-12-02,SHORT,2025-12-02 10:25:00-05:00,681.5800170898438,683.219970703125,678.3001098632812,2025-12-02 10:45:00-05:00,683.219970703125,-1.0,SL
2025-12-03,LONG,2025-12-03 10:15:00-05:00,681.625,681.0999755859375,682.675048828125,2025-12-03 10:20:00-05:00,681.0999755859375,-1.0,SL
2025-12-04,SHORT,2025-12-04 09:55:00-05:00,683.0449829101562,683.8499755859375,681.4349975585938,2025-12-04 10:30:00-05:00,683.8499755859375,-1.0,SL
2025-12-05,LONG,2025-12-05 09:55:00-05:00,686.89501953125,686.5499877929688,687.5850830078125,2025-12-05 10:00:00-05:00,687.5850830078125,2.0,TP
2025-12-09,LONG,2025-12-09 09:55:00-05:00,684.4199829101562,684.10498046875,685.0499877929688,2025-12-09 10:00:00-05:00,684.10498046875,-1.0,SL
2025-12-10,LONG,2025-12-10 10:15:00-05:00,683.2999267578125,682.8699951171875,684.1597900390625,2025-12-10 10:25:00-05:00,682.8699951171875,-1.0,SL
2025-12-12,SHORT,2025-12-12 09:55:00-05:00,687.489990234375,687.9849853515625,686.5,2025-12-12 10:05:00-05:00,686.5,2.0,TP
2025-12-19,LONG,2025-12-19 10:05:00-05:00,679.7379760742188,679.2199096679688,680.7741088867188,2025-12-19 10:10:00-05:00,679.2199096679688,-1.0,SL
2025-12-23,LONG,2025-12-23 10:35:00-05:00,685.9500122070312,685.6099853515625,686.6300659179688,2025-12-23 11:15:00-05:00,686.6300659179688,2.0,TP
2025-12-26,SHORT,2025-12-26 10:10:00-05:00,689.9099731445312,690.39501953125,688.9398803710938,2025-12-26 10:20:00-05:00,690.39501953125,-1.0,SL
2025-12-29,SHORT,2025-12-29 11:00:00-05:00,687.1749877929688,687.530029296875,686.4649047851562,2025-12-29 11:10:00-05:00,687.530029296875,-1.0,SL
2025-12-30,LONG,2025-12-30 11:00:00-05:00,687.9099731445312,687.510009765625,688.7098999023438,2025-12-30 11:40:00-05:00,687.510009765625,-1.0,SL
2025-12-31,SHORT,2025-12-31 10:10:00-05:00,685.4450073242188,685.780029296875,684.7749633789062,2025-12-31 10:50:00-05:00,684.7749633789062,2.0,TP
2026-01-05,LONG,2026-01-05 10:05:00-05:00,687.6799926757812,687.1950073242188,688.6499633789062,2026-01-05 10:30:00-05:00,688.6499633789062,2.0,TP
2026-01-08,LONG,2026-01-08 10:35:00-05:00,689.4400024414062,688.719970703125,690.8800659179688,2026-01-08 10:50:00-05:00,688.719970703125,-1.0,SL
2026-01-12,LONG,2026-01-12 10:10:00-05:00,693.3198852539062,693.0,693.9596557617188,2026-01-12 10:30:00-05:00,693.0,-1.0,SL
2026-01-13,SHORT,2026-01-13 09:50:00-05:00,694.4149780273438,695.0999755859375,693.0449829101562,2026-01-13 10:15:00-05:00,693.0449829101562,2.0,TP
