ticker,session,right,spot_935,expiry,expiry_kind,strike,option_symbol,opt_932,opt_935,opt_945,opt_1230,opt_1530,opt_1230_bar,opt_1530_bar,pct_935_to_1230,pct_945_to_1230,pct_935_to_1530,notes
BBY,2026-09-02,call,84.77,2026-09-04,this_week,85.0,BBY260904C00085000,0.75,0.75,0.75,2.45,,15m 12:15-12:30,no bar,226.7,226.7,,
ABEV,2026-09-02,call,2.93,2026-09-18,this_month,2.5,ABEV260918C00002500,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=0.5
LTM,2026-09-02,call,50.63,2026-09-18,this_month,50.0,LTM260918C00050000,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=1.55
DKNG,2026-09-02,call,24.75,2026-09-04,this_week,24.5,DKNG260904C00024500,0.47,0.47,0.4,0.4,0.49,5m 12:25-12:30,5m 15:30-15:35,-14.9,0.0,4.3,
RKT,2026-09-02,call,13.225,2026-09-04,this_week,13.0,RKT260904C00013000,0.29,0.29,0.37,0.64,,15m 12:30-12:45,no bar,120.7,73.0,,
SOFI,2026-09-02,call,17.105,2026-09-04,this_week,17.0,SOFI260904C00017000,0.36,0.35,0.48,0.89,0.94,5m 12:25-12:30,15m 15:15-15:30,154.3,85.4,168.6,
BBD,2026-09-02,call,3.395,2026-09-18,this_month,3.5,BBD260918C00003500,0.05,0.05,0.05,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=0.07
BF.B,2026-09-02,call,,,,,,,,,,,,,,,,missing 09:30-09:35 5m stock bar
CDE,2026-09-02,call,21.38,2026-09-04,this_week,21.5,CDE260904C00021500,,0.33,0.33,0.33,0.36,15m 12:30-12:45,15m 15:15-15:30,0.0,0.0,9.1,
IAG,2026-09-02,call,20.42,2026-09-18,this_month,20.0,IAG260918C00020000,,,0.9,1.0,,5m 12:30-12:35,no bar,,11.1,,
VALE,2026-09-02,call,15.51,2026-09-04,this_week,15.5,VALE260904C00015500,0.19,0.19,0.25,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=0.31
ITT,2026-09-02,call,196.02,2026-09-18,this_month,195.0,ITT260918C00195000,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=12.3
PSKY,2026-09-02,call,10.72,2026-09-04,this_week,10.5,PSKY260904C00010500,,,,0.49,,5m 12:10 (t-20m),no bar,,,,
