ticker,session,right,spot_935,expiry,expiry_kind,strike,option_symbol,opt_932,opt_935,opt_945,opt_1230,opt_1530,opt_1230_bar,opt_1530_bar,pct_935_to_1230,pct_945_to_1230,pct_935_to_1530,notes
ASTS,2026-09-02,call,60.63,2026-09-04,this_week,61.0,ASTS260904C00061000,1.48,1.54,1.63,1.5,2.68,5m 12:25-12:30,5m 15:25-15:30,-2.6,-8.0,74.0,
ALNY,2026-09-02,call,254.98,2026-09-18,this_month,250.0,ALNY260918C00250000,10.4,10.4,12.0,18.97,,5m 12:25-12:30,no bar,82.4,58.1,,
RDDT,2026-09-02,call,148.98,2026-09-04,this_week,149.0,RDDT260904C00149000,3.13,3.16,3.56,6.8,,15m 12:30-12:45,no bar,115.2,91.0,,
NU,2026-09-02,call,14.71,2026-09-04,this_week,14.5,NU260904C00014500,0.26,0.26,0.31,0.9,0.97,15m 12:15-12:30,15m 15:15-15:30,246.2,190.3,273.1,
CBRS,2026-09-02,call,171.5,2026-09-04,this_week,172.5,CBRS260904C00172500,4.6,4.0,9.15,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=12.3
CHTR,2026-09-02,call,151.16,2026-09-04,this_week,150.0,CHTR260904C00150000,3.5,3.5,3.5,7.43,8.7,15m 12:30-12:45,15m 15:18 (t-12m),112.3,112.3,148.6,
CNH,2026-09-02,call,12.585,2026-09-18,this_month,12.5,CNH260918C00012500,0.45,0.45,0.5,,1.1,no bar,15m 15:22 (t-8m),,,144.4,
HL,2026-09-02,call,20.255,2026-09-04,this_week,20.5,HL260904C00020500,0.37,0.42,0.3,0.37,0.5,5m 12:10 (t-20m),5m 15:25-15:30,-11.9,23.3,19.0,
DELL,2026-09-02,call,466.38,2026-09-04,this_week,467.5,DELL260904C00467500,15.62,14.65,19.91,8.3,26.0,5m 12:25-12:30,5m 15:25-15:30,-43.3,-58.3,77.5,
ITUB,2026-09-02,call,7.855,2026-09-18,this_month,8.0,ITUB260918C00008000,,0.2,0.2,0.3,0.25,15m 12:30-12:45,15m 15:15-15:30,50.0,50.0,25.0,
AFRM,2026-09-02,call,71.54,2026-09-04,this_week,72.0,AFRM260904C00072000,1.0,1.35,1.12,3.3,,5m 12:25-12:30,no bar,144.4,194.6,,
SWKS,2026-09-02,call,68.23,2026-09-18,this_month,67.5,SWKS260918C00067500,2.6,2.6,2.6,4.7,,15m 12:15-12:30,no bar,80.8,80.8,,
SBS,2026-09-02,call,4.995,2026-09-18,this_month,5.0,SBS260918C00005000,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=0.2
SGI,2026-09-02,call,66.28,2026-09-18,this_month,65.0,SGI260918C00065000,,,,,,no bar,no bar,,,,no 12:30/3:30 bars yet; chain lastPrice=3.4
FLUT,2026-09-02,call,101.98,2026-09-18,this_month,100.0,FLUT260918C00100000,,,,,6.0,no bar,15m 15:15-15:30,,,,
NVDA,2026-09-02,call,219.865,2026-09-02,0DTE,220.0,NVDA260902C00220000,1.03,1.18,0.93,6.95,4.5,5m 12:25-12:30,5m 15:25-15:30,489.0,647.3,281.4,
PYPL,2026-09-02,call,52.714,2026-09-04,this_week,53.0,PYPL260904C00053000,0.4,0.52,0.49,1.3,1.7,5m 12:25-12:30,5m 15:30-15:35,150.0,165.3,226.9,
TOTAL,2026-09-02,call,1894.639,,17 names,1888.0,,44.84,44.23,56.2,60.82,,,,52.9,,,"Sep 2 closest-expiry ATM calls. affrm=AFRM, payp=PYPL. Sums skip blanks."
