Date,9:30 Open,9:30 Close,9:45 Close,Gap %,Gap Bucket,Direction,VWAP Pos,Rev Prob,Trade,Entry,Market Close,Price Chg,Price Chg %,Result
2025-12-31,$687.14,$685.85,$685.96,0.02%,Small,Bear,Below VWAP,0.58,CALL,$685.85,$681.84,$-4.01,-0.59%,LOSS
2025-12-30,$687.45,$687.12,$688.09,0.06%,Small,Bear,Below VWAP,0.58,CALL,$687.12,$686.94,$-0.18,-0.03%,LOSS
2025-12-29,$687.54,$688.43,$687.56,0.08%,Small,Bull,Above VWAP,0.55,SKIP,$688.43,$687.84,$-0.59,-0.09%,N/A
2025-12-26,$690.64,$691.55,$690.78,0.53%,Large,Bull,Above VWAP,0.12,CALL,$691.55,$690.24,$-1.30,-0.19%,LOSS
2025-12-24,$687.97,$688.28,$688.60,0.14%,Small,Bull,Below VWAP,0.00,CALL,$688.28,$690.46,$+2.17,+0.32%,WIN
2025-12-23,$683.92,$685.78,$685.41,-0.45%,Medium,Bull,Above VWAP,0.62,PUT,$685.78,$687.91,$-2.13,-0.31%,LOSS
2025-12-22,$683.94,$683.23,$683.97,-0.45%,Medium,Bear,Below VWAP,0.67,CALL,$683.23,$684.79,$+1.56,+0.23%,WIN
2025-12-19,$677.00,$679.41,$679.82,-1.46%,Large,Bull,Above VWAP,0.12,CALL,$679.41,$680.59,$+1.18,+0.17%,WIN
2025-12-18,$677.60,$676.28,$678.06,-1.37%,Large,Bear,Below VWAP,0.50,SKIP,$676.28,$676.48,$+0.20,+0.03%,N/A
2025-12-17,$679.89,$678.52,$679.27,-1.04%,Large,Bear,Below VWAP,0.50,SKIP,$678.52,$671.30,$-7.22,-1.06%,N/A
2025-12-16,$679.23,$678.65,$680.79,-1.13%,Large,Bear,Below VWAP,0.50,SKIP,$678.65,$678.86,$+0.21,+0.03%,N/A
2025-12-15,$685.74,$683.62,$682.43,-0.18%,Small,Bear,Below VWAP,0.58,CALL,$683.62,$680.71,$-2.91,-0.43%,LOSS
2025-12-12,$688.17,$687.94,$687.49,0.17%,Small,Bear,Below VWAP,0.58,CALL,$687.94,$681.73,$-6.21,-0.90%,LOSS
2025-12-11,$685.14,$685.59,$682.62,-0.27%,Medium,Bull,Above VWAP,0.62,PUT,$685.59,$689.15,$-3.57,-0.52%,LOSS
2025-12-10,$682.56,$682.67,$683.12,-0.65%,Large,Bull,Above VWAP,0.12,CALL,$682.67,$687.46,$+4.79,+0.70%,WIN
2025-12-09,$683.15,$683.70,$684.42,-0.56%,Large,Bull,Above VWAP,0.12,CALL,$683.70,$683.05,$-0.65,-0.10%,LOSS
2025-12-08,$686.59,$685.92,$685.44,-0.06%,Small,Bear,Below VWAP,0.58,CALL,$685.92,$683.65,$-2.27,-0.33%,LOSS
2025-12-05,$685.47,$685.83,$686.90,-0.22%,Medium,Bull,Below VWAP,0.00,CALL,$685.83,$685.65,$-0.18,-0.03%,LOSS
2025-12-04,$685.30,$683.86,$683.04,-0.25%,Medium,Bear,Below VWAP,0.67,CALL,$683.86,$684.40,$+0.54,+0.08%,WIN
