Date,9:30 Open,9:30 Close,9:45 Close,Gap %,Gap Bucket,Direction,VWAP Pos,Rev Prob,Trade,Entry,Exit,Price Chg,Price Chg %,Result
2025-12-31,$687.14,$685.85,$685.96,0.03%,Small,Bear,Below VWAP,0.58,CALL,$685.85,$685.96,$+0.11,+0.02%,WIN
2025-12-30,$687.45,$687.12,$688.09,-0.06%,Small,Bear,Below VWAP,0.58,CALL,$687.12,$688.09,$+0.97,+0.14%,WIN
2025-12-29,$687.54,$688.43,$687.56,-0.39%,Medium,Bull,Above VWAP,0.62,PUT,$688.43,$687.56,$+0.87,+0.13%,WIN
2025-12-26,$690.64,$691.55,$690.78,0.03%,Small,Bull,Above VWAP,0.55,SKIP,$691.55,$690.78,$-0.77,-0.11%,N/A
2025-12-24,$687.97,$688.28,$688.60,0.01%,Small,Bull,Below VWAP,0.00,CALL,$688.28,$688.60,$+0.32,+0.05%,WIN
2025-12-23,$683.92,$685.78,$685.41,-0.13%,Small,Bull,Above VWAP,0.55,SKIP,$685.78,$685.41,$-0.37,-0.05%,N/A
2025-12-22,$683.94,$683.23,$683.97,0.49%,Medium,Bear,Below VWAP,0.67,CALL,$683.23,$683.97,$+0.74,+0.11%,WIN
2025-12-19,$677.00,$679.41,$679.82,0.08%,Small,Bull,Above VWAP,0.55,SKIP,$679.41,$679.82,$+0.41,+0.06%,N/A
2025-12-18,$677.60,$676.28,$678.06,0.94%,Large,Bear,Below VWAP,0.50,SKIP,$676.28,$678.06,$+1.78,+0.26%,N/A
2025-12-17,$679.89,$678.52,$679.27,0.15%,Small,Bear,Below VWAP,0.58,CALL,$678.52,$679.27,$+0.74,+0.11%,WIN
2025-12-16,$679.23,$678.65,$680.79,-0.22%,Medium,Bear,Below VWAP,0.67,CALL,$678.65,$680.79,$+2.14,+0.32%,WIN
2025-12-15,$685.74,$683.62,$682.43,0.59%,Large,Bear,Below VWAP,0.50,SKIP,$683.62,$682.43,$-1.19,-0.17%,N/A
2025-12-12,$688.17,$687.94,$687.49,-0.14%,Small,Bear,Below VWAP,0.58,CALL,$687.94,$687.49,$-0.45,-0.07%,LOSS
2025-12-11,$685.14,$685.59,$682.62,-0.34%,Medium,Bull,Above VWAP,0.62,PUT,$685.59,$682.62,$+2.97,+0.43%,WIN
