Date,9:30 Open,9:30 Close,9:45 Close,10:30 Close,Gap %,Gap Bucket,Direction,VWAP Pos,Rev Prob,Trade,Entry,Exit_945,Price Chg_945,Price Chg %_945,Result_945,Exit_1030,Price Chg_1030,Price Chg %_1030,Result_1030
2024-01-03,$470.43,$470.22,$469.97,$468.93,-0.44%,Medium,Bear,Below VWAP,0.49,SKIP,$470.22,$469.97,$-0.25,-0.05%,N/A,$468.93,$-1.29,-0.27%,N/A
2024-01-04,$468.30,$469.00,$468.92,$470.04,-0.22%,Medium,Bull,Above VWAP,0.44,SKIP,$469.00,$468.92,$-0.08,-0.02%,N/A,$470.04,$+1.04,+0.22%,N/A
2024-01-05,$467.49,$468.02,$468.17,$470.08,-0.07%,Small,Bull,Above VWAP,0.50,SKIP,$468.02,$468.17,$+0.15,+0.03%,N/A,$470.08,$+2.06,+0.44%,N/A
2024-01-08,$468.43,$468.88,$469.73,$470.38,-0.00%,Small,Bull,Above VWAP,0.50,SKIP,$468.88,$469.73,$+0.85,+0.18%,N/A,$470.38,$+1.50,+0.32%,N/A
2024-01-09,$471.87,$471.82,$472.16,$472.71,-0.49%,Medium,Bear,Below VWAP,0.49,SKIP,$471.82,$472.16,$+0.34,+0.07%,N/A,$472.71,$+0.89,+0.19%,N/A
2024-01-10,$474.16,$475.16,$474.71,$475.11,0.08%,Small,Bull,Above VWAP,0.50,SKIP,$475.16,$474.71,$-0.45,-0.09%,N/A,$475.11,$-0.05,-0.01%,N/A
2024-01-11,$477.59,$477.12,$476.32,$475.07,0.11%,Small,Bear,Above VWAP,0.54,SKIP,$477.12,$476.32,$-0.80,-0.17%,N/A,$475.07,$-2.05,-0.43%,N/A
2024-01-12,$477.84,$478.38,$477.12,$476.37,0.50%,Large,Bull,Above VWAP,0.41,SKIP,$478.38,$477.12,$-1.26,-0.26%,N/A,$476.37,$-2.01,-0.42%,N/A
2024-01-16,$475.26,$474.11,$474.50,$476.29,-0.08%,Small,Bear,Below VWAP,0.56,CALL,$474.11,$474.50,$+0.39,+0.08%,WIN,$476.29,$+2.18,+0.46%,WIN
2024-01-17,$471.82,$471.28,$471.32,$471.91,-0.62%,Large,Bear,Below VWAP,0.57,CALL,$471.28,$471.32,$+0.05,+0.01%,WIN,$471.91,$+0.63,+0.13%,WIN
2024-01-18,$474.01,$473.75,$473.87,$474.69,0.36%,Medium,Bear,Below VWAP,0.49,SKIP,$473.75,$473.87,$+0.12,+0.03%,N/A,$474.69,$+0.94,+0.20%,N/A
2024-01-19,$477.65,$477.05,$477.91,$478.14,0.19%,Small,Bear,Below VWAP,0.56,CALL,$477.05,$477.91,$+0.86,+0.18%,WIN,$478.14,$+1.09,+0.23%,WIN
2024-01-22,$484.01,$484.48,$485.02,$484.04,0.28%,Medium,Bull,Above VWAP,0.44,SKIP,$484.48,$485.02,$+0.54,+0.11%,N/A,$484.04,$-0.44,-0.09%,N/A
2024-01-23,$484.01,$483.84,$483.96,$483.37,0.10%,Small,Bear,Below VWAP,0.56,CALL,$483.84,$483.96,$+0.12,+0.02%,WIN,$483.37,$-0.47,-0.10%,LOSS
2024-01-24,$487.81,$487.37,$487.09,$488.56,0.38%,Medium,Bear,Below VWAP,0.49,SKIP,$487.37,$487.09,$-0.28,-0.06%,N/A,$488.56,$+1.19,+0.24%,N/A
2024-01-25,$487.57,$486.98,$487.32,$487.57,0.43%,Medium,Bear,Below VWAP,0.49,SKIP,$486.98,$487.32,$+0.34,+0.07%,N/A,$487.57,$+0.59,+0.12%,N/A
2024-01-26,$487.59,$487.89,$487.70,$488.71,0.13%,Small,Bull,Above VWAP,0.50,SKIP,$487.89,$487.70,$-0.19,-0.04%,N/A,$488.71,$+0.82,+0.17%,N/A
2024-01-29,$487.73,$487.87,$488.03,$487.57,0.20%,Medium,Bull,Above VWAP,0.44,SKIP,$487.87,$488.03,$+0.16,+0.03%,N/A,$487.57,$-0.30,-0.06%,N/A
2024-01-30,$490.56,$491.05,$491.26,$490.59,-0.15%,Small,Bull,Above VWAP,0.50,SKIP,$491.05,$491.26,$+0.22,+0.04%,N/A,$490.59,$-0.46,-0.09%,N/A
2024-01-31,$488.62,$488.02,$487.76,$486.66,-0.12%,Small,Bear,Below VWAP,0.56,CALL,$488.02,$487.76,$-0.26,-0.05%,LOSS,$486.66,$-1.36,-0.28%,LOSS
2024-02-01,$484.63,$485.55,$485.08,$485.70,0.13%,Small,Bull,Above VWAP,0.50,SKIP,$485.55,$485.08,$-0.47,-0.10%,N/A,$485.70,$+0.15,+0.03%,N/A
2024-02-02,$489.65,$490.23,$490.49,$492.18,-0.43%,Medium,Bull,Below VWAP,0.30,CALL,$490.23,$490.49,$+0.26,+0.05%,WIN,$492.18,$+1.95,+0.40%,WIN
2024-02-05,$493.69,$493.23,$493.44,$490.51,0.02%,Small,Bear,Below VWAP,0.56,CALL,$493.23,$493.44,$+0.21,+0.04%,WIN,$490.51,$-2.72,-0.55%,LOSS
2024-02-06,$493.52,$494.14,$493.01,$492.79,0.19%,Small,Bull,Above VWAP,0.50,SKIP,$494.14,$493.01,$-1.13,-0.23%,N/A,$492.79,$-1.35,-0.27%,N/A
