Date,9:30 Open,9:30 Close,9:45 Close,10:30 Close,Market Close,Gap %,Gap Bucket,Direction,VWAP Pos,Rev Prob,Cell Count,Trade,Entry,Exit_945,Price Chg_945,Price Chg %_945,Result_945,Exit_1030,Price Chg_1030,Price Chg %_1030,Result_1030,Exit_Close,Price Chg_Close,Price Chg %_Close,Result_Close
2024-01-03,$470.43,$470.22,$469.97,$468.93,$468.73,-0.44%,Medium,Bear,Below VWAP,0.59,85,CALL,$470.22,$469.97,$-0.25,-0.05%,LOSS,$468.93,$-1.29,-0.27%,LOSS,$468.73,$-1.49,-0.32%,LOSS
2024-01-04,$468.30,$469.00,$468.92,$470.04,$467.27,-0.22%,Medium,Bull,Above VWAP,0.46,71,SKIP,$469.00,$468.92,$-0.08,-0.02%,N/A,$470.04,$+1.04,+0.22%,N/A,$467.27,$-1.73,-0.37%,N/A
2024-01-05,$467.49,$468.02,$468.17,$470.08,$467.96,-0.07%,Small,Bull,Above VWAP,0.48,99,SKIP,$468.02,$468.17,$+0.15,+0.03%,N/A,$470.08,$+2.06,+0.44%,N/A,$467.96,$-0.06,-0.01%,N/A
2024-01-08,$468.43,$468.88,$469.73,$470.38,$474.56,-0.00%,Small,Bull,Above VWAP,0.48,99,SKIP,$468.88,$469.73,$+0.85,+0.18%,N/A,$470.38,$+1.50,+0.32%,N/A,$474.56,$+5.68,+1.21%,N/A
2024-01-09,$471.87,$471.82,$472.16,$472.71,$473.84,-0.49%,Medium,Bear,Below VWAP,0.59,85,CALL,$471.82,$472.16,$+0.34,+0.07%,WIN,$472.71,$+0.89,+0.19%,WIN,$473.84,$+2.02,+0.43%,WIN
2024-01-10,$474.16,$475.16,$474.71,$475.11,$476.52,0.08%,Small,Bull,Above VWAP,0.48,99,SKIP,$475.16,$474.71,$-0.45,-0.09%,N/A,$475.11,$-0.05,-0.01%,N/A,$476.52,$+1.36,+0.29%,N/A
2024-01-11,$477.59,$477.12,$476.32,$475.07,$476.32,0.11%,Small,Bear,Above VWAP,0.54,13,SKIP,$477.12,$476.32,$-0.80,-0.17%,N/A,$475.07,$-2.05,-0.43%,N/A,$476.32,$-0.80,-0.17%,N/A
2024-01-12,$477.84,$478.38,$477.12,$476.37,$476.67,0.50%,Large,Bull,Above VWAP,0.42,48,SKIP,$478.38,$477.12,$-1.26,-0.26%,N/A,$476.37,$-2.01,-0.42%,N/A,$476.67,$-1.71,-0.36%,N/A
2024-01-16,$475.26,$474.11,$474.50,$476.29,$474.95,-0.08%,Small,Bear,Below VWAP,0.53,79,SKIP,$474.11,$474.50,$+0.39,+0.08%,N/A,$476.29,$+2.18,+0.46%,N/A,$474.95,$+0.84,+0.18%,N/A
2024-01-17,$471.82,$471.28,$471.32,$471.91,$472.27,-0.62%,Large,Bear,Below VWAP,0.47,55,SKIP,$471.28,$471.32,$+0.05,+0.01%,N/A,$471.91,$+0.63,+0.13%,N/A,$472.27,$+1.00,+0.21%,N/A
2024-01-18,$474.01,$473.75,$473.87,$474.69,$476.46,0.36%,Medium,Bear,Below VWAP,0.59,85,CALL,$473.75,$473.87,$+0.12,+0.03%,WIN,$474.69,$+0.94,+0.20%,WIN,$476.46,$+2.71,+0.57%,WIN
2024-01-19,$477.65,$477.05,$477.91,$478.14,$482.42,0.19%,Small,Bear,Below VWAP,0.53,79,SKIP,$477.05,$477.91,$+0.86,+0.18%,N/A,$478.14,$+1.09,+0.23%,N/A,$482.42,$+5.37,+1.13%,N/A
2024-01-22,$484.01,$484.48,$485.02,$484.04,$483.52,0.28%,Medium,Bull,Above VWAP,0.46,71,SKIP,$484.48,$485.02,$+0.54,+0.11%,N/A,$484.04,$-0.44,-0.09%,N/A,$483.52,$-0.96,-0.20%,N/A
2024-01-23,$484.01,$483.84,$483.96,$483.37,$484.88,0.10%,Small,Bear,Below VWAP,0.53,79,SKIP,$483.84,$483.96,$+0.12,+0.02%,N/A,$483.37,$-0.47,-0.10%,N/A,$484.88,$+1.04,+0.21%,N/A
2024-01-24,$487.81,$487.37,$487.09,$488.56,$485.32,0.38%,Medium,Bear,Below VWAP,0.59,85,CALL,$487.37,$487.09,$-0.28,-0.06%,LOSS,$488.56,$+1.19,+0.24%,WIN,$485.32,$-2.05,-0.42%,LOSS
2024-01-25,$487.57,$486.98,$487.32,$487.57,$488.00,0.43%,Medium,Bear,Below VWAP,0.59,85,CALL,$486.98,$487.32,$+0.34,+0.07%,WIN,$487.57,$+0.59,+0.12%,WIN,$488.00,$+1.02,+0.21%,WIN
