date,direction,range_high,range_low,breakout_time,acceptance_time,confirm_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,outcome,R_multiple
2025-01-08,SHORT,588.77,587.44,2025-01-08 09:50:00-05:00,2025-01-08 10:15:00-05:00,2025-01-08 10:20:00-05:00,2025-01-08 10:25:00-05:00,586.475,588.77,581.8850000000001,2025-01-08 11:35:00-05:00,588.77,SL,-1.0
2025-01-15,LONG,590.94,589.58,2025-01-15 09:40:00-05:00,2025-01-15 09:50:00-05:00,2025-01-15 09:55:00-05:00,2025-01-15 10:00:00-05:00,592.14,589.58,597.2599999999999,2025-01-15 11:50:00-05:00,589.58,SL,-1.0
2025-01-16,SHORT,594.3,593.36,2025-01-16 09:40:00-05:00,2025-01-16 09:50:00-05:00,2025-01-16 09:55:00-05:00,2025-01-16 10:15:00-05:00,592.6,594.3,589.2000000000002,2025-01-16 11:05:00-05:00,594.3,SL,-1.0
2025-01-17,LONG,597.3,596.06,2025-01-17 10:35:00-05:00,2025-01-17 10:45:00-05:00,2025-01-17 10:50:00-05:00,2025-01-17 10:55:00-05:00,598.16,596.06,602.36,2025-01-17 16:00:00-05:00,597.22,EOD,-0.4476190476190146
2025-01-21,SHORT,601.13,600.38,2025-01-21 09:35:00-05:00,2025-01-21 10:05:00-05:00,2025-01-21 10:10:00-05:00,2025-01-21 10:15:00-05:00,599.9101,601.13,597.4703000000002,2025-01-21 11:50:00-05:00,601.13,SL,-1.0
2025-01-29,SHORT,603.99,603.07,2025-01-29 09:40:00-05:00,2025-01-29 10:45:00-05:00,2025-01-29 10:55:00-05:00,2025-01-29 11:10:00-05:00,602.6701,603.99,600.0303000000001,2025-01-29 13:00:00-05:00,600.0303000000001,TP,2.0
2025-01-31,LONG,607.88,607.18,2025-01-31 09:50:00-05:00,2025-01-31 10:00:00-05:00,2025-01-31 10:05:00-05:00,2025-01-31 12:10:00-05:00,608.88,607.18,612.2800000000001,2025-01-31 13:25:00-05:00,607.18,SL,-1.0
2025-02-12,LONG,599.7,598.51,2025-02-12 09:35:00-05:00,2025-02-12 09:45:00-05:00,2025-02-12 09:50:00-05:00,2025-02-12 10:05:00-05:00,600.33,598.51,603.9700000000001,2025-02-12 12:20:00-05:00,603.9700000000001,TP,2.0
2025-02-18,SHORT,611.0,610.38,2025-02-18 09:40:00-05:00,2025-02-18 10:00:00-05:00,2025-02-18 10:05:00-05:00,2025-02-18 10:15:00-05:00,609.55,611.0,606.6499999999999,2025-02-18 15:55:00-05:00,611.0,SL,-1.0
2025-02-28,LONG,585.58,583.27,2025-02-28 09:40:00-05:00,2025-02-28 09:55:00-05:00,2025-02-28 10:00:00-05:00,2025-02-28 10:20:00-05:00,587.72,583.27,596.6200000000001,2025-02-28 13:15:00-05:00,583.27,SL,-1.0
2025-03-06,SHORT,575.75,574.5701,2025-03-06 09:40:00-05:00,2025-03-06 12:00:00-05:00,2025-03-06 12:05:00-05:00,2025-03-06 12:25:00-05:00,572.55,575.75,566.1499999999999,2025-03-06 16:00:00-05:00,573.52,EOD,-0.3031250000000042
