Datetime,Open,High,Low,Close,Volume
2025-02-03 09:00:00+00:00,116.01,118.0,115.0,116.73,723792.0
2025-02-03 09:05:00+00:00,116.74,117.15,116.21,116.24,397885.0
2025-02-03 09:10:00+00:00,116.26,116.89,116.1,116.8,214072.0
2025-02-03 09:15:00+00:00,116.8,116.83,116.09,116.2,178828.0
2025-02-03 09:20:00+00:00,116.18,116.69,115.8,116.22,258335.0
2025-02-03 09:25:00+00:00,116.26,116.42,116.0,116.25,154442.0
2025-02-03 09:30:00+00:00,116.24,116.85,116.21,116.67,154563.0
2025-02-03 09:35:00+00:00,116.65,116.77,116.21,116.46,167083.0
2025-02-03 09:40:00+00:00,116.48,116.6,116.1,116.12,116579.0
2025-02-03 09:45:00+00:00,116.13,116.4,116.0,116.3,106079.0
2025-02-03 09:50:00+00:00,116.3,116.77,116.1,116.4,179971.0
2025-02-03 09:55:00+00:00,116.32,116.64,116.3,116.51,102858.0
2025-02-03 10:00:00+00:00,116.51,116.7,116.25,116.25,101237.0
2025-02-03 10:05:00+00:00,116.3,116.66,116.3,116.65,86938.0
2025-02-03 10:10:00+00:00,116.68,116.74,116.47,116.56,92851.0
2025-02-03 10:15:00+00:00,116.56,116.62,116.41,116.43,50580.0
2025-02-03 10:20:00+00:00,116.44,116.55,116.39,116.55,77476.0
2025-02-03 10:25:00+00:00,116.51,116.96,116.51,116.79,97677.0
2025-02-03 10:30:00+00:00,116.8,117.71,116.79,117.67,216833.0
2025-02-03 10:35:00+00:00,117.67,117.99,117.54,117.6,199546.0
2025-02-03 10:40:00+00:00,117.62,117.71,117.34,117.7,95290.0
2025-02-03 10:45:00+00:00,117.7,117.74,117.18,117.43,95935.0
2025-02-03 10:50:00+00:00,117.45,117.58,117.11,117.36,87850.0
2025-02-03 10:55:00+00:00,117.34,117.37,117.11,117.25,77237.0
2025-02-03 11:00:00+00:00,117.25,117.68,117.24,117.45,137254.0
2025-02-03 11:05:00+00:00,117.42,117.55,117.29,117.34,64363.0
2025-02-03 11:10:00+00:00,117.39,117.6,117.37,117.44,87019.0
2025-02-03 11:15:00+00:00,117.46,117.48,117.05,117.16,106480.0
2025-02-03 11:20:00+00:00,117.16,117.5,117.13,117.27,88160.0
2025-02-03 11:25:00+00:00,117.23,117.45,117.22,117.45,54657.0
2025-02-03 11:30:00+00:00,117.45,117.53,117.27,117.32,47595.0
2025-02-03 11:35:00+00:00,117.31,117.43,116.8,116.87,165572.0
2025-02-03 11:40:00+00:00,116.87,117.08,116.72,116.75,97403.0
2025-02-03 11:45:00+00:00,116.75,117.2,116.73,116.95,66122.0
2025-02-03 11:50:00+00:00,117.0,117.03,116.38,116.55,115428.0
2025-02-03 11:55:00+00:00,116.58,116.95,116.56,116.87,88340.0
2025-02-03 12:00:00+00:00,116.88,117.38,116.18,116.18,566974.0
2025-02-03 12:05:00+00:00,116.18,116.21,115.75,115.77,496267.0
2025-02-03 12:10:00+00:00,115.77,115.86,115.51,115.821,317040.0
2025-02-03 12:15:00+00:00,115.85,115.93,115.221,115.24,278899.0
2025-02-03 12:20:00+00:00,115.24,115.67,115.15,115.46,250995.0
2025-02-03 12:25:00+00:00,115.47,115.88,115.22,115.51,301727.0
2025-02-03 12:30:00+00:00,115.5,115.76,115.32,115.52,222030.0
2025-02-03 12:35:00+00:00,115.52,115.57,115.29,115.35,172847.0
2025-02-03 12:40:00+00:00,115.35,115.36,115.11,115.13,229527.0
2025-02-03 12:45:00+00:00,115.12,115.28,115.01,115.06,351226.0
2025-02-03 12:50:00+00:00,115.05,115.2,114.78,115.1,648689.0
2025-02-03 12:55:00+00:00,115.1,115.35,114.99,114.99,237104.0
2025-02-03 13:00:00+00:00,114.99,117.91,113.27,115.18,4851664.0
2025-02-03 13:05:00+00:00,115.15,119.77,115.1,115.23,681031.0
2025-02-03 13:10:00+00:00,115.229,115.47,115.09,115.46,398457.0
2025-02-03 13:15:00+00:00,115.44,115.8,115.33,115.741,472401.0
2025-02-03 13:20:00+00:00,115.78,115.79,115.41,115.5195,296754.0
2025-02-03 13:25:00+00:00,115.5097,115.7,115.49,115.65,240414.0
2025-02-03 13:30:00+00:00,115.63,115.7,115.52,115.54,298215.0
2025-02-03 13:35:00+00:00,115.54,115.58,115.15,115.38,488462.0
2025-02-03 13:40:00+00:00,115.3799,115.63,115.36,115.59,294741.0
2025-02-03 13:45:00+00:00,115.58,115.6,115.5,115.54,259416.0
2025-02-03 13:50:00+00:00,115.56,115.59,115.31,115.56,281320.0
2025-02-03 13:55:00+00:00,115.55,115.6,115.5,115.55,237494.0
2025-02-03 14:00:00+00:00,115.541,115.93,115.53,115.91,513316.0
2025-02-03 14:05:00+00:00,115.9299,116.1,115.7,115.77,541650.0
2025-02-03 14:10:00+00:00,115.7699,116.01,115.61,115.8109,433153.0
2025-02-03 14:15:00+00:00,115.81,115.83,115.34,115.39,447500.0
2025-02-03 14:20:00+00:00,115.3899,115.45,115.01,115.04,542196.0
2025-02-03 14:25:00+00:00,115.03,115.04,114.01,114.76,1766978.0
2025-02-03 14:30:00+00:00,114.75,114.99,113.01,114.41,25417829.0
2025-02-03 14:35:00+00:00,114.38,114.4767,113.35,114.08,12209978.0
2025-02-03 14:40:00+00:00,114.08,114.99,113.62,114.47,9125746.0
2025-02-03 14:45:00+00:00,114.45,114.67,113.51,113.565,8411799.0
2025-02-03 14:50:00+00:00,113.5644,114.28,113.275,113.78,7229626.0
2025-02-03 14:55:00+00:00,113.7808,114.99,113.7,114.7376,7088481.0
2025-02-03 15:00:00+00:00,114.68,115.25,113.76,114.01,7993997.0
2025-02-03 15:05:00+00:00,114.0,114.97,113.88,114.87,5428603.0
2025-02-03 15:10:00+00:00,114.86,114.885,113.7,113.865,5496460.0
2025-02-03 15:15:00+00:00,113.87,114.246,113.61,113.775,5028161.0
