Datetime,Open,High,Low,Close,Volume
2025-10-01 08:00:00+00:00,661.23,661.3,660.93,661.24,27946.0
2025-10-01 08:05:00+00:00,661.22,661.26,661.08,661.1,11011.0
2025-10-01 08:10:00+00:00,661.04,661.18,660.99,661.18,10758.0
2025-10-01 08:15:00+00:00,661.16,661.23,661.16,661.23,4738.0
2025-10-01 08:20:00+00:00,661.01,661.14,661.0,661.06,5551.0
2025-10-01 08:25:00+00:00,661.2,661.32,661.08,661.22,7784.0
2025-10-01 08:30:00+00:00,661.29,662.01,661.29,661.97,14411.0
2025-10-01 08:35:00+00:00,662.01,662.07,661.85,661.98,10013.0
2025-10-01 08:40:00+00:00,661.93,662.32,661.93,662.31,14662.0
2025-10-01 08:45:00+00:00,662.23,662.23,662.14,662.18,2400.0
2025-10-01 08:50:00+00:00,662.23,662.34,662.2,662.22,8570.0
2025-10-01 08:55:00+00:00,662.17,662.17,662.03,662.1,4086.0
2025-10-01 09:00:00+00:00,662.16,662.19,662.04,662.06,5182.0
2025-10-01 09:05:00+00:00,662.13,662.59,662.12,662.5,8473.0
2025-10-01 09:10:00+00:00,662.45,663.0,662.42,662.5,12852.0
2025-10-01 09:15:00+00:00,662.54,662.55,662.45,662.47,4183.0
2025-10-01 09:20:00+00:00,662.53,662.67,662.51,662.67,16497.0
2025-10-01 09:25:00+00:00,662.66,663.03,662.66,662.93,21506.0
2025-10-01 09:30:00+00:00,662.99,663.0,662.67,662.69,22883.0
2025-10-01 09:35:00+00:00,662.77,662.85,662.66,662.75,18944.0
2025-10-01 09:40:00+00:00,662.73,662.75,662.61,662.61,1983.0
2025-10-01 09:45:00+00:00,662.72,662.87,662.72,662.87,2225.0
2025-10-01 09:50:00+00:00,662.79,662.8,662.79,662.8,1049.0
2025-10-01 09:55:00+00:00,662.7,662.72,662.67,662.72,1833.0
2025-10-01 10:00:00+00:00,662.76,662.81,662.76,662.8,1544.0
2025-10-01 10:05:00+00:00,662.85,663.0,662.84,663.0,2182.0
2025-10-01 10:10:00+00:00,663.07,663.07,662.9,662.93,8684.0
2025-10-01 10:15:00+00:00,662.91,662.91,662.82,662.89,2509.0
2025-10-01 10:20:00+00:00,662.87,662.91,662.77,662.77,2935.0
2025-10-01 10:25:00+00:00,662.9,662.91,662.6,662.6,3856.0
2025-10-01 10:30:00+00:00,662.51,662.51,662.41,662.51,2196.0
2025-10-01 10:35:00+00:00,662.78,662.78,662.54,662.54,2274.0
2025-10-01 10:40:00+00:00,662.54,662.56,662.31,662.33,8018.0
2025-10-01 10:45:00+00:00,662.38,662.53,662.38,662.5,5321.0
2025-10-01 10:50:00+00:00,662.55,662.56,662.55,662.56,1432.0
2025-10-01 10:55:00+00:00,662.52,662.52,662.43,662.5,6286.0
2025-10-01 11:00:00+00:00,662.47,662.75,662.47,662.75,4138.0
2025-10-01 11:05:00+00:00,662.66,663.14,662.66,663.0,8699.0
2025-10-01 11:10:00+00:00,662.8,663.05,662.77,663.05,12098.0
2025-10-01 11:15:00+00:00,663.06,663.15,663.03,663.15,21871.0
2025-10-01 11:20:00+00:00,663.08,663.25,663.08,663.14,5925.0
2025-10-01 11:25:00+00:00,663.21,663.3,663.2,663.27,14415.0
2025-10-01 11:30:00+00:00,663.37,663.51,663.3,663.51,8513.0
2025-10-01 11:35:00+00:00,663.5,663.6,663.32,663.32,7954.0
2025-10-01 11:40:00+00:00,663.37,663.51,663.37,663.51,20975.0
2025-10-01 11:45:00+00:00,663.43,663.7,663.43,663.7,24655.0
