ts,Open,High,Low,Close,Volume
2026-04-29 13:30:00+00:00,14.4,17.2,13.7,16.5,223
2026-04-29 13:31:00+00:00,16.6,18.2,15.25,17.3,352
2026-04-29 13:32:00+00:00,17.5,19.4,16.86,18.8,403
2026-04-29 13:33:00+00:00,18.96,18.96,16.3,16.7,362
2026-04-29 13:34:00+00:00,16.6,18.0,16.3,17.6,392
2026-04-29 13:35:00+00:00,17.77,18.6,17.0,17.1,321
2026-04-29 13:36:00+00:00,16.95,17.6,15.5,16.6,300
2026-04-29 13:38:00+00:00,15.6,16.7,15.4,16.45,221
2026-04-29 13:39:00+00:00,16.3,16.8,15.3,15.5,349
2026-04-29 13:40:00+00:00,15.5,16.5,15.1,16.2,286
2026-04-29 13:41:00+00:00,16.0,16.5,15.2,16.1,163
2026-04-29 13:42:00+00:00,16.0,17.0,15.8,15.8,274
2026-04-29 13:43:00+00:00,15.8,17.3,15.8,17.3,208
2026-04-29 13:44:00+00:00,17.3,17.8,16.4,17.5,256
2026-04-29 13:45:00+00:00,17.6,19.3,17.6,18.95,590
2026-04-29 13:46:00+00:00,18.83,19.6,17.0,17.8,215
2026-04-29 13:47:00+00:00,17.7,18.2,16.4,17.9,247
2026-04-29 13:48:00+00:00,18.1,18.9,17.4,17.8,481
2026-04-29 13:49:00+00:00,17.5,17.6,16.8,17.5,251
2026-04-29 13:50:00+00:00,17.7,17.71,15.1,15.53,425
2026-04-29 13:51:00+00:00,15.3,16.45,15.0,15.26,335
2026-04-29 13:52:00+00:00,15.3,16.45,15.3,16.1,213
2026-04-29 13:53:00+00:00,16.2,16.3,14.1,14.4,290
2026-04-29 13:54:00+00:00,14.3,14.55,13.8,14.2,320
2026-04-29 13:55:00+00:00,14.0,14.3,13.5,13.8,180
2026-04-29 13:56:00+00:00,13.7,13.8,12.4,12.78,306
2026-04-29 13:57:00+00:00,13.0,13.2,12.9,13.1,130
2026-04-29 13:58:00+00:00,13.2,14.2,13.2,13.8,230
2026-04-29 13:59:00+00:00,13.9,14.0,12.7,13.2,105
2026-04-29 14:00:00+00:00,13.5,15.2,13.5,15.2,364
2026-04-29 14:01:00+00:00,15.2,15.2,14.43,15.0,272
2026-04-29 14:02:00+00:00,15.2,15.2,13.4,13.4,302
2026-04-29 14:03:00+00:00,13.4,14.0,13.3,14.0,176
2026-04-29 14:04:00+00:00,14.1,14.5,12.7,12.7,150
2026-04-29 14:05:00+00:00,12.7,13.3,12.5,12.5,150
2026-04-29 14:06:00+00:00,12.6,13.3,12.28,12.8,148
2026-04-29 14:07:00+00:00,13.0,13.5,12.4,12.9,162
2026-04-29 14:08:00+00:00,13.0,13.6,12.5,13.1,369
2026-04-29 14:09:00+00:00,13.0,13.1,12.2,12.33,71
2026-04-29 14:10:00+00:00,12.4,12.7,11.6,12.1,177
2026-04-29 14:11:00+00:00,12.0,12.4,11.6,12.4,177
2026-04-29 14:12:00+00:00,12.45,12.5,10.8,10.9,609
2026-04-29 14:13:00+00:00,11.0,11.2,10.45,10.6,263
2026-04-29 14:14:00+00:00,10.6,10.95,10.5,10.9,92
2026-04-29 14:15:00+00:00,10.9,11.4,10.45,10.5,230
2026-04-29 14:16:00+00:00,10.7,10.9,10.1,10.8,218
2026-04-29 14:17:00+00:00,10.76,10.9,10.3,10.9,60
