ts,Open,High,Low,Close,Volume
2026-04-30 13:30:00+00:00,26.44,26.7,21.7,21.7,33
2026-04-30 13:32:00+00:00,18.8,20.3,18.7,19.5,140
2026-04-30 13:33:00+00:00,18.9,20.4,17.9,18.0,100
2026-04-30 13:34:00+00:00,17.9,18.5,16.58,16.58,162
2026-04-30 13:35:00+00:00,16.5,17.1,14.9,15.4,263
2026-04-30 13:37:00+00:00,16.4,17.5,14.7,14.9,240
2026-04-30 13:38:00+00:00,15.0,15.6,14.5,15.1,125
2026-04-30 13:39:00+00:00,15.0,15.22,13.3,13.4,205
2026-04-30 13:40:00+00:00,13.2,13.4,12.38,12.7,205
2026-04-30 13:41:00+00:00,12.54,13.5,12.2,12.2,241
2026-04-30 13:42:00+00:00,12.2,13.5,12.2,13.3,134
2026-04-30 13:43:00+00:00,13.42,14.8,13.1,14.6,248
2026-04-30 13:44:00+00:00,14.7,16.2,14.4,15.9,196
2026-04-30 13:45:00+00:00,15.9,17.1,14.6,17.1,466
2026-04-30 13:46:00+00:00,16.9,17.2,13.7,14.0,736
2026-04-30 13:47:00+00:00,14.02,15.0,13.4,14.8,249
2026-04-30 13:48:00+00:00,14.7,14.85,13.4,14.2,251
2026-04-30 13:49:00+00:00,13.9,14.7,13.5,14.2,163
2026-04-30 13:50:00+00:00,14.3,15.5,13.7,13.7,193
2026-04-30 13:51:00+00:00,13.7,13.9,12.75,12.9,157
2026-04-30 13:52:00+00:00,12.8,13.5,11.2,11.5,372
2026-04-30 13:53:00+00:00,11.7,12.8,11.5,11.5,116
2026-04-30 13:54:00+00:00,11.4,12.0,11.03,11.03,182
2026-04-30 13:55:00+00:00,11.0,11.1,10.3,10.6,312
2026-04-30 13:56:00+00:00,10.3,10.8,9.75,10.1,158
2026-04-30 13:57:00+00:00,10.2,10.71,9.23,9.4,192
2026-04-30 13:58:00+00:00,9.27,9.9,9.0,9.7,270
2026-04-30 13:59:00+00:00,9.6,10.5,9.6,9.8,187
2026-04-30 14:00:00+00:00,9.85,11.12,9.63,10.8,248
2026-04-30 14:01:00+00:00,10.87,11.33,10.7,10.95,137
2026-04-30 14:02:00+00:00,11.1,12.0,10.8,11.56,380
