ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-19 13:30:00+00:00,8,38.0525,39.8,40.3,40.3,35.0,1779197400000,7
2026-05-19 13:32:00+00:00,14,34.2257,33.85,33.6,36.07,33.5,1779197520000,13
2026-05-19 13:34:00+00:00,33,36.8736,36.8,35.0,37.8,35.0,1779197640000,23
2026-05-19 13:35:00+00:00,24,32.9888,35.0,34.2,35.0,31.6,1779197700000,16
2026-05-19 13:36:00+00:00,62,36.7284,34.7,39.0,39.0,34.7,1779197760000,38
2026-05-19 13:37:00+00:00,18,41.5417,40.32,41.46,42.74,40.32,1779197820000,13
2026-05-19 13:38:00+00:00,8,41.28,41.23,41.0,41.98,40.33,1779197880000,7
2026-05-19 13:39:00+00:00,13,41.8108,42.7,41.54,43.01,40.65,1779197940000,9
2026-05-19 13:40:00+00:00,13,38.3308,40.9,38.3,40.9,37.0,1779198000000,9
2026-05-19 13:41:00+00:00,17,33.5035,35.6,34.2,35.6,32.9,1779198060000,14
2026-05-19 13:43:00+00:00,22,31.4795,31.4,31.4,32.4,30.6,1779198180000,12
2026-05-19 13:44:00+00:00,11,30.0491,31.6,29.9,31.6,29.0,1779198240000,9
2026-05-19 13:45:00+00:00,91,31.3842,29.3,30.4,31.76,29.0,1779198300000,20
2026-05-19 13:46:00+00:00,41,29.3583,30.22,27.0,30.22,27.0,1779198360000,21
2026-05-19 13:47:00+00:00,36,30.22,26.9,35.0,35.7,26.9,1779198420000,22
2026-05-19 13:49:00+00:00,9,38.8044,36.86,37.5,40.83,36.86,1779198540000,6
2026-05-19 13:50:00+00:00,17,35.4194,34.6,36.0,36.6,33.13,1779198600000,15
2026-05-19 13:51:00+00:00,37,37.2395,35.5,39.07,39.07,34.9,1779198660000,18
2026-05-19 13:52:00+00:00,10,39.569,39.67,38.2,40.79,37.2,1779198720000,8
2026-05-19 13:53:00+00:00,16,39.225,39.0,39.6,40.33,38.3,1779198780000,14
2026-05-19 13:54:00+00:00,18,42.6011,39.7,44.34,45.3,39.7,1779198840000,14
2026-05-19 13:55:00+00:00,20,46.0835,45.85,45.8,47.46,45.32,1779198900000,11
2026-05-19 13:57:00+00:00,7,43.0,40.4,43.8,43.8,40.4,1779199020000,5
2026-05-19 13:58:00+00:00,12,43.8317,43.9,44.2,44.2,43.68,1779199080000,5
2026-05-19 13:59:00+00:00,10,42.206,43.28,41.1,43.64,40.6,1779199140000,10
2026-05-19 14:00:00+00:00,8,36.925,38.7,36.1,38.7,35.54,1779199200000,8
2026-05-19 14:01:00+00:00,20,34.514,35.07,33.9,35.7,33.9,1779199260000,14
2026-05-19 14:02:00+00:00,28,34.4107,34.97,32.1,35.0,31.58,1779199320000,14
2026-05-19 14:03:00+00:00,5,31.586,30.8,32.93,32.93,30.8,1779199380000,5
2026-05-19 14:04:00+00:00,24,35.95,33.1,36.9,36.9,32.9,1779199440000,9
2026-05-19 14:05:00+00:00,74,34.7905,37.7,31.5,37.7,31.5,1779199500000,19
2026-05-19 14:06:00+00:00,19,30.4284,30.4,30.4,31.54,29.2,1779199560000,9
2026-05-19 14:07:00+00:00,29,27.8941,31.2,25.0,31.2,24.8,1779199620000,16
2026-05-19 14:08:00+00:00,73,25.5932,25.6,25.1,26.4,24.6,1779199680000,31
2026-05-19 14:09:00+00:00,29,25.8841,25.6,26.8,26.87,24.7,1779199740000,16
2026-05-19 14:10:00+00:00,34,26.2912,26.4,28.41,28.41,25.1,1779199800000,21
2026-05-19 14:11:00+00:00,11,27.7273,29.0,28.6,29.0,25.7,1779199860000,9
2026-05-19 14:12:00+00:00,6,27.9567,28.0,29.02,29.02,26.9,1779199920000,6
2026-05-19 14:13:00+00:00,18,27.5889,28.3,27.2,28.4,27.2,1779199980000,6
2026-05-19 14:14:00+00:00,30,24.8993,25.0,24.48,25.6,24.0,1779200040000,13
2026-05-19 14:15:00+00:00,44,23.7664,23.7,22.7,24.8,22.7,1779200100000,25
2026-05-19 14:16:00+00:00,47,23.2106,23.5,23.1,23.7,22.7,1779200160000,23
2026-05-19 14:17:00+00:00,31,22.9394,23.2,23.1,24.3,22.2,1779200220000,25
2026-05-19 14:18:00+00:00,104,22.3828,22.7,23.32,23.8,20.6,1779200280000,47
2026-05-19 14:19:00+00:00,69,22.2716,22.9,21.7,23.4,21.0,1779200340000,32
2026-05-19 14:20:00+00:00,134,20.7137,21.77,20.0,22.63,19.8,1779200400000,48
2026-05-19 14:21:00+00:00,189,18.8924,20.1,18.0,20.1,17.7,1779200460000,90
2026-05-19 14:22:00+00:00,172,18.1876,18.13,18.6,19.0,17.6,1779200520000,86
2026-05-19 14:23:00+00:00,355,20.2097,19.1,19.7,21.1,18.9,1779200580000,137
2026-05-19 14:24:00+00:00,286,20.765,19.8,21.6,21.7,19.4,1779200640000,104
2026-05-19 14:25:00+00:00,141,20.742,22.0,19.8,22.0,18.8,1779200700000,75
2026-05-19 14:26:00+00:00,127,20.7599,19.7,21.3,22.3,19.4,1779200760000,71
2026-05-19 14:27:00+00:00,119,22.0108,21.3,22.8,23.3,20.6,1779200820000,59
2026-05-19 14:28:00+00:00,166,22.1102,22.8,19.8,23.4,19.7,1779200880000,79
2026-05-19 14:29:00+00:00,137,19.8091,20.6,19.72,20.6,19.27,1779200940000,65
2026-05-19 14:30:00+00:00,292,20.0684,20.0,20.9,21.2,18.0,1779201000000,98
2026-05-19 14:31:00+00:00,199,21.8953,21.33,23.1,24.4,20.2,1779201060000,76
2026-05-19 14:32:00+00:00,115,21.8419,23.3,20.7,23.3,20.2,1779201120000,49
2026-05-19 14:33:00+00:00,72,20.1931,20.5,20.7,20.7,19.75,1779201180000,35
2026-05-19 14:34:00+00:00,59,20.1668,20.9,19.0,21.2,18.9,1779201240000,39
2026-05-19 14:35:00+00:00,82,19.597,19.15,20.1,20.1,19.08,1779201300000,55
2026-05-19 14:36:00+00:00,148,21.0182,20.1,21.2,21.71,19.7,1779201360000,76
2026-05-19 14:37:00+00:00,104,21.4817,21.5,21.3,22.0,20.5,1779201420000,43
2026-05-19 14:38:00+00:00,323,21.9118,21.7,22.1,22.8,20.9,1779201480000,77
2026-05-19 14:39:00+00:00,70,22.5944,22.5,22.7,23.1,21.65,1779201540000,32
2026-05-19 14:40:00+00:00,125,22.1984,21.62,23.6,23.77,19.6,1779201600000,46
2026-05-19 14:41:00+00:00,53,23.0153,22.9,23.5,24.0,22.0,1779201660000,24
2026-05-19 14:42:00+00:00,67,23.3634,23.6,23.4,24.3,22.4,1779201720000,34
2026-05-19 14:43:00+00:00,52,23.3523,24.2,21.3,24.53,21.1,1779201780000,28
2026-05-19 14:44:00+00:00,114,21.1325,20.8,21.0,21.7,20.2,1779201840000,50
2026-05-19 14:45:00+00:00,137,20.3219,20.7,18.2,21.2,18.0,1779201900000,54
2026-05-19 14:46:00+00:00,82,17.8734,17.9,17.2,18.3,17.2,1779201960000,40
2026-05-19 14:47:00+00:00,124,16.0733,17.1,15.7,17.37,15.1,1779202020000,72
2026-05-19 14:48:00+00:00,181,15.2719,15.6,15.7,16.1,14.5,1779202080000,100
