ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-26 13:30:00+00:00,322,8.1475,7.9,9.01,9.2,7.4,1779802200000,175
2026-05-26 13:32:00+00:00,358,9.5389,9.9,9.9,9.9,9.2,1779802320000,165
2026-05-26 13:33:00+00:00,217,9.4329,9.7,9.7,9.8,9.0,1779802380000,105
2026-05-26 13:34:00+00:00,406,10.3626,9.72,10.7,11.0,9.72,1779802440000,151
2026-05-26 13:35:00+00:00,346,11.2718,10.8,11.5,11.65,10.8,1779802500000,173
2026-05-26 13:36:00+00:00,387,10.4663,11.4,9.8,11.9,9.7,1779802560000,147
2026-05-26 13:37:00+00:00,383,9.4375,9.8,8.6,10.2,8.3,1779802620000,130
2026-05-26 13:38:00+00:00,291,8.1811,8.4,8.5,8.6,7.9,1779802680000,116
2026-05-26 13:39:00+00:00,292,8.7801,8.35,8.8,9.1,8.26,1779802740000,129
2026-05-26 13:40:00+00:00,191,8.4321,8.9,8.4,9.1,8.1,1779802800000,97
2026-05-26 13:41:00+00:00,588,7.1065,8.3,6.58,8.3,6.47,1779802860000,184
2026-05-26 13:42:00+00:00,343,6.7811,6.6,6.6,7.2,6.37,1779802920000,169
2026-05-26 13:43:00+00:00,203,6.7437,6.53,6.9,7.1,6.53,1779802980000,95
2026-05-26 13:44:00+00:00,397,6.1773,6.9,5.9,6.9,5.6,1779803040000,150
2026-05-26 13:45:00+00:00,482,5.4101,5.8,5.2,5.8,5.15,1779803100000,198
2026-05-26 13:46:00+00:00,465,5.2017,5.3,5.1,5.5,4.95,1779803160000,165
2026-05-26 13:47:00+00:00,262,5.2981,5.1,5.3,5.5,5.07,1779803220000,128
2026-05-26 13:48:00+00:00,123,5.3009,5.3,5.2,5.4,5.18,1779803280000,67
2026-05-26 13:49:00+00:00,428,5.254,5.25,5.17,5.4,5.07,1779803340000,86
2026-05-26 13:50:00+00:00,594,6.0777,5.15,6.9,6.9,5.1,1779803400000,194
2026-05-26 13:51:00+00:00,874,7.0437,6.9,7.2,7.46,6.29,1779803460000,320
