ts,Volume,vw,Open,Close,High,Low,t,n
2026-05-08 08:00:00+00:00,13079.498562,733.7003,733.13,734.04,734.16,733.13,1778227200000,987
2026-05-08 08:01:00+00:00,38471.330717,733.6385,733.6,733.68,734.19,732.91,1778227260000,1192
2026-05-08 08:02:00+00:00,10035.022003,733.9633,733.6,734.05,734.12,733.56,1778227320000,222
2026-05-08 08:03:00+00:00,699.005965,734.0622,734.07,734.08,734.08,734.04,1778227380000,19
2026-05-08 08:04:00+00:00,987.117832,734.2614,734.12,734.24,734.24,734.07,1778227440000,29
2026-05-08 08:05:00+00:00,674.010117,734.3008,734.3,734.29,734.3,734.29,1778227500000,20
2026-05-08 08:06:00+00:00,335.110181,734.4616,734.27,734.19,734.27,734.15,1778227560000,27
2026-05-08 08:07:00+00:00,1407.214273,734.0785,734.01,733.9,734.28,733.9,1778227620000,97
2026-05-08 08:08:00+00:00,1422.0,734.2589,734.24,734.27,734.28,734.24,1778227680000,22
2026-05-08 08:09:00+00:00,814.488751,734.7472,734.26,734.38,734.4,734.22,1778227740000,33
2026-05-08 08:10:00+00:00,1613.822116,734.8403,734.4,734.51,734.51,734.375,1778227800000,45
2026-05-08 08:11:00+00:00,1769.497514,734.6934,734.5,734.45,734.5168,734.43,1778227860000,34
2026-05-08 08:12:00+00:00,2160.799361,734.8191,734.5,734.573,734.63,734.4936,1778227920000,44
2026-05-08 08:13:00+00:00,627.021915,734.4668,734.59,734.38,734.59,734.37,1778227980000,30
2026-05-08 08:14:00+00:00,53.011393,734.5565,734.4,734.4,734.4,734.4,1778228040000,9
2026-05-08 08:15:00+00:00,406.002015,734.3733,734.33,734.41,734.41,734.33,1778228100000,7
2026-05-08 08:17:00+00:00,1303.00599,734.3935,734.4,734.43,734.43,734.38,1778228220000,20
2026-05-08 08:18:00+00:00,1093.096692,734.5056,734.43,734.5,734.5,734.43,1778228280000,17
2026-05-08 08:19:00+00:00,95.00731,734.573,734.52,734.52,734.52,734.52,1778228340000,12
2026-05-08 08:21:00+00:00,192.064513,734.8954,734.6013,734.71,734.71,734.6013,1778228460000,22
2026-05-08 08:22:00+00:00,309.024889,734.7605,734.74,734.62,734.74,734.62,1778228520000,23
2026-05-08 08:23:00+00:00,914.067915,734.6307,734.59,734.62,734.62,734.57,1778228580000,16
2026-05-08 08:24:00+00:00,133.202386,735.7272,734.61,734.6,734.61,734.6,1778228640000,15
2026-05-08 08:25:00+00:00,1163.024922,734.6303,734.62,734.56,734.63,734.56,1778228700000,25
